metapath	metaedge	metaedge_abbrev	position	length
CbGbCtD	Compound - binds - Gene	CbG	1	3
CbGbCtD	Compound - binds - Gene	CbG	2	3
CbGbCtD	Compound - treats - Disease	CtD	3	3
CbGcGaD	Compound - binds - Gene	CbG	1	3
CbGcGaD	Gene - covaries - Gene	GcG	2	3
CbGcGaD	Disease - associates - Gene	DaG	3	3
CbGcGdD	Compound - binds - Gene	CbG	1	3
CbGcGdD	Gene - covaries - Gene	GcG	2	3
CbGcGdD	Disease - downregulates - Gene	DdG	3	3
CbGcGuD	Compound - binds - Gene	CbG	1	3
CbGcGuD	Gene - covaries - Gene	GcG	2	3
CbGcGuD	Disease - upregulates - Gene	DuG	3	3
CbGdAlD	Compound - binds - Gene	CbG	1	3
CbGdAlD	Anatomy - downregulates - Gene	AdG	2	3
CbGdAlD	Disease - localizes - Anatomy	DlA	3	3
CbGdCpD	Compound - binds - Gene	CbG	1	3
CbGdCpD	Compound - downregulates - Gene	CdG	2	3
CbGdCpD	Compound - palliates - Disease	CpD	3	3
CbGdCtD	Compound - binds - Gene	CbG	1	3
CbGdCtD	Compound - downregulates - Gene	CdG	2	3
CbGdCtD	Compound - treats - Disease	CtD	3	3
CbGdDrD	Compound - binds - Gene	CbG	1	3
CbGdDrD	Disease - downregulates - Gene	DdG	2	3
CbGdDrD	Disease - resembles - Disease	DrD	3	3
CbGeAlD	Compound - binds - Gene	CbG	1	3
CbGeAlD	Anatomy - expresses - Gene	AeG	2	3
CbGeAlD	Disease - localizes - Anatomy	DlA	3	3
CbGiGaD	Compound - binds - Gene	CbG	1	3
CbGiGaD	Gene - interacts - Gene	GiG	2	3
CbGiGaD	Disease - associates - Gene	DaG	3	3
CbGiGdD	Compound - binds - Gene	CbG	1	3
CbGiGdD	Gene - interacts - Gene	GiG	2	3
CbGiGdD	Disease - downregulates - Gene	DdG	3	3
CbGiGuD	Compound - binds - Gene	CbG	1	3
CbGiGuD	Gene - interacts - Gene	GiG	2	3
CbGiGuD	Disease - upregulates - Gene	DuG	3	3
CbGr>GaD	Compound - binds - Gene	CbG	1	3
CbGr>GaD	Gene > regulates > Gene	GrG	2	3
CbGr>GaD	Disease - associates - Gene	DaG	3	3
CbGr>GdD	Compound - binds - Gene	CbG	1	3
CbGr>GdD	Gene > regulates > Gene	GrG	2	3
CbGr>GdD	Disease - downregulates - Gene	DdG	3	3
CbGr>GuD	Compound - binds - Gene	CbG	1	3
CbGr>GuD	Gene > regulates > Gene	GrG	2	3
CbGr>GuD	Disease - upregulates - Gene	DuG	3	3
CbGuAlD	Compound - binds - Gene	CbG	1	3
CbGuAlD	Anatomy - upregulates - Gene	AuG	2	3
CbGuAlD	Disease - localizes - Anatomy	DlA	3	3
CbGuCpD	Compound - binds - Gene	CbG	1	3
CbGuCpD	Compound - upregulates - Gene	CuG	2	3
CbGuCpD	Compound - palliates - Disease	CpD	3	3
CbGuCtD	Compound - binds - Gene	CbG	1	3
CbGuCtD	Compound - upregulates - Gene	CuG	2	3
CbGuCtD	Compound - treats - Disease	CtD	3	3
CbGuDrD	Compound - binds - Gene	CbG	1	3
CbGuDrD	Disease - upregulates - Gene	DuG	2	3
CbGuDrD	Disease - resembles - Disease	DrD	3	3
CcSEcCpD	Compound - causes - Side Effect	CcSE	1	3
CcSEcCpD	Compound - causes - Side Effect	CcSE	2	3
CcSEcCpD	Compound - palliates - Disease	CpD	3	3
CcSEcCtD	Compound - causes - Side Effect	CcSE	1	3
CcSEcCtD	Compound - causes - Side Effect	CcSE	2	3
CcSEcCtD	Compound - treats - Disease	CtD	3	3
CdG<rGaD	Compound - downregulates - Gene	CdG	1	3
CdG<rGaD	Gene > regulates > Gene	GrG	2	3
CdG<rGaD	Disease - associates - Gene	DaG	3	3
CdG<rGdD	Compound - downregulates - Gene	CdG	1	3
CdG<rGdD	Gene > regulates > Gene	GrG	2	3
CdG<rGdD	Disease - downregulates - Gene	DdG	3	3
CdG<rGuD	Compound - downregulates - Gene	CdG	1	3
CdG<rGuD	Gene > regulates > Gene	GrG	2	3
CdG<rGuD	Disease - upregulates - Gene	DuG	3	3
CdGaDrD	Compound - downregulates - Gene	CdG	1	3
CdGaDrD	Disease - associates - Gene	DaG	2	3
CdGaDrD	Disease - resembles - Disease	DrD	3	3
CdGbCpD	Compound - downregulates - Gene	CdG	1	3
CdGbCpD	Compound - binds - Gene	CbG	2	3
CdGbCpD	Compound - palliates - Disease	CpD	3	3
CdGbCtD	Compound - downregulates - Gene	CdG	1	3
CdGbCtD	Compound - binds - Gene	CbG	2	3
CdGbCtD	Compound - treats - Disease	CtD	3	3
CdGcGaD	Compound - downregulates - Gene	CdG	1	3
CdGcGaD	Gene - covaries - Gene	GcG	2	3
CdGcGaD	Disease - associates - Gene	DaG	3	3
CdGcGdD	Compound - downregulates - Gene	CdG	1	3
CdGcGdD	Gene - covaries - Gene	GcG	2	3
CdGcGdD	Disease - downregulates - Gene	DdG	3	3
CdGcGuD	Compound - downregulates - Gene	CdG	1	3
CdGcGuD	Gene - covaries - Gene	GcG	2	3
CdGcGuD	Disease - upregulates - Gene	DuG	3	3
CdGdAlD	Compound - downregulates - Gene	CdG	1	3
CdGdAlD	Anatomy - downregulates - Gene	AdG	2	3
CdGdAlD	Disease - localizes - Anatomy	DlA	3	3
CdGdCpD	Compound - downregulates - Gene	CdG	1	3
CdGdCpD	Compound - downregulates - Gene	CdG	2	3
CdGdCpD	Compound - palliates - Disease	CpD	3	3
CdGdCtD	Compound - downregulates - Gene	CdG	1	3
CdGdCtD	Compound - downregulates - Gene	CdG	2	3
CdGdCtD	Compound - treats - Disease	CtD	3	3
CdGdDrD	Compound - downregulates - Gene	CdG	1	3
CdGdDrD	Disease - downregulates - Gene	DdG	2	3
CdGdDrD	Disease - resembles - Disease	DrD	3	3
CdGeAlD	Compound - downregulates - Gene	CdG	1	3
CdGeAlD	Anatomy - expresses - Gene	AeG	2	3
CdGeAlD	Disease - localizes - Anatomy	DlA	3	3
CdGiGaD	Compound - downregulates - Gene	CdG	1	3
CdGiGaD	Gene - interacts - Gene	GiG	2	3
CdGiGaD	Disease - associates - Gene	DaG	3	3
CdGiGdD	Compound - downregulates - Gene	CdG	1	3
CdGiGdD	Gene - interacts - Gene	GiG	2	3
CdGiGdD	Disease - downregulates - Gene	DdG	3	3
CdGiGuD	Compound - downregulates - Gene	CdG	1	3
CdGiGuD	Gene - interacts - Gene	GiG	2	3
CdGiGuD	Disease - upregulates - Gene	DuG	3	3
CdGr>GaD	Compound - downregulates - Gene	CdG	1	3
CdGr>GaD	Gene > regulates > Gene	GrG	2	3
CdGr>GaD	Disease - associates - Gene	DaG	3	3
CdGr>GdD	Compound - downregulates - Gene	CdG	1	3
CdGr>GdD	Gene > regulates > Gene	GrG	2	3
CdGr>GdD	Disease - downregulates - Gene	DdG	3	3
CdGr>GuD	Compound - downregulates - Gene	CdG	1	3
CdGr>GuD	Gene > regulates > Gene	GrG	2	3
CdGr>GuD	Disease - upregulates - Gene	DuG	3	3
CdGuAlD	Compound - downregulates - Gene	CdG	1	3
CdGuAlD	Anatomy - upregulates - Gene	AuG	2	3
CdGuAlD	Disease - localizes - Anatomy	DlA	3	3
CdGuCpD	Compound - downregulates - Gene	CdG	1	3
CdGuCpD	Compound - upregulates - Gene	CuG	2	3
CdGuCpD	Compound - palliates - Disease	CpD	3	3
CdGuCtD	Compound - downregulates - Gene	CdG	1	3
CdGuCtD	Compound - upregulates - Gene	CuG	2	3
CdGuCtD	Compound - treats - Disease	CtD	3	3
CdGuDrD	Compound - downregulates - Gene	CdG	1	3
CdGuDrD	Disease - upregulates - Gene	DuG	2	3
CdGuDrD	Disease - resembles - Disease	DrD	3	3
CiPCiCpD	Pharmacologic Class - includes - Compound	PCiC	1	3
CiPCiCpD	Pharmacologic Class - includes - Compound	PCiC	2	3
CiPCiCpD	Compound - palliates - Disease	CpD	3	3
CiPCiCtD	Pharmacologic Class - includes - Compound	PCiC	1	3
CiPCiCtD	Pharmacologic Class - includes - Compound	PCiC	2	3
CiPCiCtD	Compound - treats - Disease	CtD	3	3
CpDaGaD	Compound - palliates - Disease	CpD	1	3
CpDaGaD	Disease - associates - Gene	DaG	2	3
CpDaGaD	Disease - associates - Gene	DaG	3	3
CpDaGdD	Compound - palliates - Disease	CpD	1	3
CpDaGdD	Disease - associates - Gene	DaG	2	3
CpDaGdD	Disease - downregulates - Gene	DdG	3	3
CpDaGuD	Compound - palliates - Disease	CpD	1	3
CpDaGuD	Disease - associates - Gene	DaG	2	3
CpDaGuD	Disease - upregulates - Gene	DuG	3	3
CpDdGaD	Compound - palliates - Disease	CpD	1	3
CpDdGaD	Disease - downregulates - Gene	DdG	2	3
CpDdGaD	Disease - associates - Gene	DaG	3	3
CpDdGdD	Compound - palliates - Disease	CpD	1	3
CpDdGdD	Disease - downregulates - Gene	DdG	2	3
CpDdGdD	Disease - downregulates - Gene	DdG	3	3
CpDdGuD	Compound - palliates - Disease	CpD	1	3
CpDdGuD	Disease - downregulates - Gene	DdG	2	3
CpDdGuD	Disease - upregulates - Gene	DuG	3	3
CpDlAlD	Compound - palliates - Disease	CpD	1	3
CpDlAlD	Disease - localizes - Anatomy	DlA	2	3
CpDlAlD	Disease - localizes - Anatomy	DlA	3	3
CpDpCpD	Compound - palliates - Disease	CpD	1	3
CpDpCpD	Compound - palliates - Disease	CpD	2	3
CpDpCpD	Compound - palliates - Disease	CpD	3	3
CpDpCtD	Compound - palliates - Disease	CpD	1	3
CpDpCtD	Compound - palliates - Disease	CpD	2	3
CpDpCtD	Compound - treats - Disease	CtD	3	3
CpDpSpD	Compound - palliates - Disease	CpD	1	3
CpDpSpD	Disease - presents - Symptom	DpS	2	3
CpDpSpD	Disease - presents - Symptom	DpS	3	3
CpDrDrD	Compound - palliates - Disease	CpD	1	3
CpDrDrD	Disease - resembles - Disease	DrD	2	3
CpDrDrD	Disease - resembles - Disease	DrD	3	3
CpDtCpD	Compound - palliates - Disease	CpD	1	3
CpDtCpD	Compound - treats - Disease	CtD	2	3
CpDtCpD	Compound - palliates - Disease	CpD	3	3
CpDtCtD	Compound - palliates - Disease	CpD	1	3
CpDtCtD	Compound - treats - Disease	CtD	2	3
CpDtCtD	Compound - treats - Disease	CtD	3	3
CpDuGaD	Compound - palliates - Disease	CpD	1	3
CpDuGaD	Disease - upregulates - Gene	DuG	2	3
CpDuGaD	Disease - associates - Gene	DaG	3	3
CpDuGdD	Compound - palliates - Disease	CpD	1	3
CpDuGdD	Disease - upregulates - Gene	DuG	2	3
CpDuGdD	Disease - downregulates - Gene	DdG	3	3
CpDuGuD	Compound - palliates - Disease	CpD	1	3
CpDuGuD	Disease - upregulates - Gene	DuG	2	3
CpDuGuD	Disease - upregulates - Gene	DuG	3	3
CrCbGaD	Compound - resembles - Compound	CrC	1	3
CrCbGaD	Compound - binds - Gene	CbG	2	3
CrCbGaD	Disease - associates - Gene	DaG	3	3
CrCbGdD	Compound - resembles - Compound	CrC	1	3
CrCbGdD	Compound - binds - Gene	CbG	2	3
CrCbGdD	Disease - downregulates - Gene	DdG	3	3
CrCbGuD	Compound - resembles - Compound	CrC	1	3
CrCbGuD	Compound - binds - Gene	CbG	2	3
CrCbGuD	Disease - upregulates - Gene	DuG	3	3
CrCdGaD	Compound - resembles - Compound	CrC	1	3
CrCdGaD	Compound - downregulates - Gene	CdG	2	3
CrCdGaD	Disease - associates - Gene	DaG	3	3
CrCdGdD	Compound - resembles - Compound	CrC	1	3
CrCdGdD	Compound - downregulates - Gene	CdG	2	3
CrCdGdD	Disease - downregulates - Gene	DdG	3	3
CrCdGuD	Compound - resembles - Compound	CrC	1	3
CrCdGuD	Compound - downregulates - Gene	CdG	2	3
CrCdGuD	Disease - upregulates - Gene	DuG	3	3
CrCpDrD	Compound - resembles - Compound	CrC	1	3
CrCpDrD	Compound - palliates - Disease	CpD	2	3
CrCpDrD	Disease - resembles - Disease	DrD	3	3
CrCrCpD	Compound - resembles - Compound	CrC	1	3
CrCrCpD	Compound - resembles - Compound	CrC	2	3
CrCrCpD	Compound - palliates - Disease	CpD	3	3
CrCrCtD	Compound - resembles - Compound	CrC	1	3
CrCrCtD	Compound - resembles - Compound	CrC	2	3
CrCrCtD	Compound - treats - Disease	CtD	3	3
CrCtDrD	Compound - resembles - Compound	CrC	1	3
CrCtDrD	Compound - treats - Disease	CtD	2	3
CrCtDrD	Disease - resembles - Disease	DrD	3	3
CrCuGaD	Compound - resembles - Compound	CrC	1	3
CrCuGaD	Compound - upregulates - Gene	CuG	2	3
CrCuGaD	Disease - associates - Gene	DaG	3	3
CrCuGdD	Compound - resembles - Compound	CrC	1	3
CrCuGdD	Compound - upregulates - Gene	CuG	2	3
CrCuGdD	Disease - downregulates - Gene	DdG	3	3
CrCuGuD	Compound - resembles - Compound	CrC	1	3
CrCuGuD	Compound - upregulates - Gene	CuG	2	3
CrCuGuD	Disease - upregulates - Gene	DuG	3	3
CtDaGaD	Compound - treats - Disease	CtD	1	3
CtDaGaD	Disease - associates - Gene	DaG	2	3
CtDaGaD	Disease - associates - Gene	DaG	3	3
CtDaGdD	Compound - treats - Disease	CtD	1	3
CtDaGdD	Disease - associates - Gene	DaG	2	3
CtDaGdD	Disease - downregulates - Gene	DdG	3	3
CtDaGuD	Compound - treats - Disease	CtD	1	3
CtDaGuD	Disease - associates - Gene	DaG	2	3
CtDaGuD	Disease - upregulates - Gene	DuG	3	3
CtDdGaD	Compound - treats - Disease	CtD	1	3
CtDdGaD	Disease - downregulates - Gene	DdG	2	3
CtDdGaD	Disease - associates - Gene	DaG	3	3
CtDdGdD	Compound - treats - Disease	CtD	1	3
CtDdGdD	Disease - downregulates - Gene	DdG	2	3
CtDdGdD	Disease - downregulates - Gene	DdG	3	3
CtDdGuD	Compound - treats - Disease	CtD	1	3
CtDdGuD	Disease - downregulates - Gene	DdG	2	3
CtDdGuD	Disease - upregulates - Gene	DuG	3	3
CtDlAlD	Compound - treats - Disease	CtD	1	3
CtDlAlD	Disease - localizes - Anatomy	DlA	2	3
CtDlAlD	Disease - localizes - Anatomy	DlA	3	3
CtDpCpD	Compound - treats - Disease	CtD	1	3
CtDpCpD	Compound - palliates - Disease	CpD	2	3
CtDpCpD	Compound - palliates - Disease	CpD	3	3
CtDpCtD	Compound - treats - Disease	CtD	1	3
CtDpCtD	Compound - palliates - Disease	CpD	2	3
CtDpCtD	Compound - treats - Disease	CtD	3	3
CtDpSpD	Compound - treats - Disease	CtD	1	3
CtDpSpD	Disease - presents - Symptom	DpS	2	3
CtDpSpD	Disease - presents - Symptom	DpS	3	3
CtDrDrD	Compound - treats - Disease	CtD	1	3
CtDrDrD	Disease - resembles - Disease	DrD	2	3
CtDrDrD	Disease - resembles - Disease	DrD	3	3
CtDtCpD	Compound - treats - Disease	CtD	1	3
CtDtCpD	Compound - treats - Disease	CtD	2	3
CtDtCpD	Compound - palliates - Disease	CpD	3	3
CtDtCtD	Compound - treats - Disease	CtD	1	3
CtDtCtD	Compound - treats - Disease	CtD	2	3
CtDtCtD	Compound - treats - Disease	CtD	3	3
CtDuGaD	Compound - treats - Disease	CtD	1	3
CtDuGaD	Disease - upregulates - Gene	DuG	2	3
CtDuGaD	Disease - associates - Gene	DaG	3	3
CtDuGdD	Compound - treats - Disease	CtD	1	3
CtDuGdD	Disease - upregulates - Gene	DuG	2	3
CtDuGdD	Disease - downregulates - Gene	DdG	3	3
CtDuGuD	Compound - treats - Disease	CtD	1	3
CtDuGuD	Disease - upregulates - Gene	DuG	2	3
CtDuGuD	Disease - upregulates - Gene	DuG	3	3
CuG<rGaD	Compound - upregulates - Gene	CuG	1	3
CuG<rGaD	Gene > regulates > Gene	GrG	2	3
CuG<rGaD	Disease - associates - Gene	DaG	3	3
CuG<rGdD	Compound - upregulates - Gene	CuG	1	3
CuG<rGdD	Gene > regulates > Gene	GrG	2	3
CuG<rGdD	Disease - downregulates - Gene	DdG	3	3
CuG<rGuD	Compound - upregulates - Gene	CuG	1	3
CuG<rGuD	Gene > regulates > Gene	GrG	2	3
CuG<rGuD	Disease - upregulates - Gene	DuG	3	3
CuGaDrD	Compound - upregulates - Gene	CuG	1	3
CuGaDrD	Disease - associates - Gene	DaG	2	3
CuGaDrD	Disease - resembles - Disease	DrD	3	3
CuGbCpD	Compound - upregulates - Gene	CuG	1	3
CuGbCpD	Compound - binds - Gene	CbG	2	3
CuGbCpD	Compound - palliates - Disease	CpD	3	3
CuGbCtD	Compound - upregulates - Gene	CuG	1	3
CuGbCtD	Compound - binds - Gene	CbG	2	3
CuGbCtD	Compound - treats - Disease	CtD	3	3
CuGcGaD	Compound - upregulates - Gene	CuG	1	3
CuGcGaD	Gene - covaries - Gene	GcG	2	3
CuGcGaD	Disease - associates - Gene	DaG	3	3
CuGcGdD	Compound - upregulates - Gene	CuG	1	3
CuGcGdD	Gene - covaries - Gene	GcG	2	3
CuGcGdD	Disease - downregulates - Gene	DdG	3	3
CuGcGuD	Compound - upregulates - Gene	CuG	1	3
CuGcGuD	Gene - covaries - Gene	GcG	2	3
CuGcGuD	Disease - upregulates - Gene	DuG	3	3
CuGdAlD	Compound - upregulates - Gene	CuG	1	3
CuGdAlD	Anatomy - downregulates - Gene	AdG	2	3
CuGdAlD	Disease - localizes - Anatomy	DlA	3	3
CuGdCpD	Compound - upregulates - Gene	CuG	1	3
CuGdCpD	Compound - downregulates - Gene	CdG	2	3
CuGdCpD	Compound - palliates - Disease	CpD	3	3
CuGdCtD	Compound - upregulates - Gene	CuG	1	3
CuGdCtD	Compound - downregulates - Gene	CdG	2	3
CuGdCtD	Compound - treats - Disease	CtD	3	3
CuGdDrD	Compound - upregulates - Gene	CuG	1	3
CuGdDrD	Disease - downregulates - Gene	DdG	2	3
CuGdDrD	Disease - resembles - Disease	DrD	3	3
CuGeAlD	Compound - upregulates - Gene	CuG	1	3
CuGeAlD	Anatomy - expresses - Gene	AeG	2	3
CuGeAlD	Disease - localizes - Anatomy	DlA	3	3
CuGiGaD	Compound - upregulates - Gene	CuG	1	3
CuGiGaD	Gene - interacts - Gene	GiG	2	3
CuGiGaD	Disease - associates - Gene	DaG	3	3
CuGiGdD	Compound - upregulates - Gene	CuG	1	3
CuGiGdD	Gene - interacts - Gene	GiG	2	3
CuGiGdD	Disease - downregulates - Gene	DdG	3	3
CuGiGuD	Compound - upregulates - Gene	CuG	1	3
CuGiGuD	Gene - interacts - Gene	GiG	2	3
CuGiGuD	Disease - upregulates - Gene	DuG	3	3
CuGr>GaD	Compound - upregulates - Gene	CuG	1	3
CuGr>GaD	Gene > regulates > Gene	GrG	2	3
CuGr>GaD	Disease - associates - Gene	DaG	3	3
CuGr>GdD	Compound - upregulates - Gene	CuG	1	3
CuGr>GdD	Gene > regulates > Gene	GrG	2	3
CuGr>GdD	Disease - downregulates - Gene	DdG	3	3
CuGr>GuD	Compound - upregulates - Gene	CuG	1	3
CuGr>GuD	Gene > regulates > Gene	GrG	2	3
CuGr>GuD	Disease - upregulates - Gene	DuG	3	3
CuGuAlD	Compound - upregulates - Gene	CuG	1	3
CuGuAlD	Anatomy - upregulates - Gene	AuG	2	3
CuGuAlD	Disease - localizes - Anatomy	DlA	3	3
CuGuCpD	Compound - upregulates - Gene	CuG	1	3
CuGuCpD	Compound - upregulates - Gene	CuG	2	3
CuGuCpD	Compound - palliates - Disease	CpD	3	3
CuGuCtD	Compound - upregulates - Gene	CuG	1	3
CuGuCtD	Compound - upregulates - Gene	CuG	2	3
CuGuCtD	Compound - treats - Disease	CtD	3	3
CuGuDrD	Compound - upregulates - Gene	CuG	1	3
CuGuDrD	Disease - upregulates - Gene	DuG	2	3
CuGuDrD	Disease - resembles - Disease	DrD	3	3
CbG<rG<rGaD	Compound - binds - Gene	CbG	1	4
CbG<rG<rGaD	Gene > regulates > Gene	GrG	2	4
CbG<rG<rGaD	Gene > regulates > Gene	GrG	3	4
CbG<rG<rGaD	Disease - associates - Gene	DaG	4	4
CbG<rG<rGdD	Compound - binds - Gene	CbG	1	4
CbG<rG<rGdD	Gene > regulates > Gene	GrG	2	4
CbG<rG<rGdD	Gene > regulates > Gene	GrG	3	4
CbG<rG<rGdD	Disease - downregulates - Gene	DdG	4	4
CbG<rG<rGuD	Compound - binds - Gene	CbG	1	4
CbG<rG<rGuD	Gene > regulates > Gene	GrG	2	4
CbG<rG<rGuD	Gene > regulates > Gene	GrG	3	4
CbG<rG<rGuD	Disease - upregulates - Gene	DuG	4	4
CbG<rGaDrD	Compound - binds - Gene	CbG	1	4
CbG<rGaDrD	Gene > regulates > Gene	GrG	2	4
CbG<rGaDrD	Disease - associates - Gene	DaG	3	4
CbG<rGaDrD	Disease - resembles - Disease	DrD	4	4
CbG<rGbCpD	Compound - binds - Gene	CbG	1	4
CbG<rGbCpD	Gene > regulates > Gene	GrG	2	4
CbG<rGbCpD	Compound - binds - Gene	CbG	3	4
CbG<rGbCpD	Compound - palliates - Disease	CpD	4	4
CbG<rGbCtD	Compound - binds - Gene	CbG	1	4
CbG<rGbCtD	Gene > regulates > Gene	GrG	2	4
CbG<rGbCtD	Compound - binds - Gene	CbG	3	4
CbG<rGbCtD	Compound - treats - Disease	CtD	4	4
CbG<rGcGaD	Compound - binds - Gene	CbG	1	4
CbG<rGcGaD	Gene > regulates > Gene	GrG	2	4
CbG<rGcGaD	Gene - covaries - Gene	GcG	3	4
CbG<rGcGaD	Disease - associates - Gene	DaG	4	4
CbG<rGcGdD	Compound - binds - Gene	CbG	1	4
CbG<rGcGdD	Gene > regulates > Gene	GrG	2	4
CbG<rGcGdD	Gene - covaries - Gene	GcG	3	4
CbG<rGcGdD	Disease - downregulates - Gene	DdG	4	4
CbG<rGcGuD	Compound - binds - Gene	CbG	1	4
CbG<rGcGuD	Gene > regulates > Gene	GrG	2	4
CbG<rGcGuD	Gene - covaries - Gene	GcG	3	4
CbG<rGcGuD	Disease - upregulates - Gene	DuG	4	4
CbG<rGdAlD	Compound - binds - Gene	CbG	1	4
CbG<rGdAlD	Gene > regulates > Gene	GrG	2	4
CbG<rGdAlD	Anatomy - downregulates - Gene	AdG	3	4
CbG<rGdAlD	Disease - localizes - Anatomy	DlA	4	4
CbG<rGdCpD	Compound - binds - Gene	CbG	1	4
CbG<rGdCpD	Gene > regulates > Gene	GrG	2	4
CbG<rGdCpD	Compound - downregulates - Gene	CdG	3	4
CbG<rGdCpD	Compound - palliates - Disease	CpD	4	4
CbG<rGdCtD	Compound - binds - Gene	CbG	1	4
CbG<rGdCtD	Gene > regulates > Gene	GrG	2	4
CbG<rGdCtD	Compound - downregulates - Gene	CdG	3	4
CbG<rGdCtD	Compound - treats - Disease	CtD	4	4
CbG<rGdDrD	Compound - binds - Gene	CbG	1	4
CbG<rGdDrD	Gene > regulates > Gene	GrG	2	4
CbG<rGdDrD	Disease - downregulates - Gene	DdG	3	4
CbG<rGdDrD	Disease - resembles - Disease	DrD	4	4
CbG<rGeAlD	Compound - binds - Gene	CbG	1	4
CbG<rGeAlD	Gene > regulates > Gene	GrG	2	4
CbG<rGeAlD	Anatomy - expresses - Gene	AeG	3	4
CbG<rGeAlD	Disease - localizes - Anatomy	DlA	4	4
CbG<rGiGaD	Compound - binds - Gene	CbG	1	4
CbG<rGiGaD	Gene > regulates > Gene	GrG	2	4
CbG<rGiGaD	Gene - interacts - Gene	GiG	3	4
CbG<rGiGaD	Disease - associates - Gene	DaG	4	4
CbG<rGiGdD	Compound - binds - Gene	CbG	1	4
CbG<rGiGdD	Gene > regulates > Gene	GrG	2	4
CbG<rGiGdD	Gene - interacts - Gene	GiG	3	4
CbG<rGiGdD	Disease - downregulates - Gene	DdG	4	4
CbG<rGiGuD	Compound - binds - Gene	CbG	1	4
CbG<rGiGuD	Gene > regulates > Gene	GrG	2	4
CbG<rGiGuD	Gene - interacts - Gene	GiG	3	4
CbG<rGiGuD	Disease - upregulates - Gene	DuG	4	4
CbG<rGr>GaD	Compound - binds - Gene	CbG	1	4
CbG<rGr>GaD	Gene > regulates > Gene	GrG	2	4
CbG<rGr>GaD	Gene > regulates > Gene	GrG	3	4
CbG<rGr>GaD	Disease - associates - Gene	DaG	4	4
CbG<rGr>GdD	Compound - binds - Gene	CbG	1	4
CbG<rGr>GdD	Gene > regulates > Gene	GrG	2	4
CbG<rGr>GdD	Gene > regulates > Gene	GrG	3	4
CbG<rGr>GdD	Disease - downregulates - Gene	DdG	4	4
CbG<rGr>GuD	Compound - binds - Gene	CbG	1	4
CbG<rGr>GuD	Gene > regulates > Gene	GrG	2	4
CbG<rGr>GuD	Gene > regulates > Gene	GrG	3	4
CbG<rGr>GuD	Disease - upregulates - Gene	DuG	4	4
CbG<rGuAlD	Compound - binds - Gene	CbG	1	4
CbG<rGuAlD	Gene > regulates > Gene	GrG	2	4
CbG<rGuAlD	Anatomy - upregulates - Gene	AuG	3	4
CbG<rGuAlD	Disease - localizes - Anatomy	DlA	4	4
CbG<rGuCpD	Compound - binds - Gene	CbG	1	4
CbG<rGuCpD	Gene > regulates > Gene	GrG	2	4
CbG<rGuCpD	Compound - upregulates - Gene	CuG	3	4
CbG<rGuCpD	Compound - palliates - Disease	CpD	4	4
CbG<rGuCtD	Compound - binds - Gene	CbG	1	4
CbG<rGuCtD	Gene > regulates > Gene	GrG	2	4
CbG<rGuCtD	Compound - upregulates - Gene	CuG	3	4
CbG<rGuCtD	Compound - treats - Disease	CtD	4	4
CbG<rGuDrD	Compound - binds - Gene	CbG	1	4
CbG<rGuDrD	Gene > regulates > Gene	GrG	2	4
