metapath	nonzero	seconds_per_query	auroc	auroc_permuted	delta_auroc	pval_auroc	length
CuGdAlD	0.483	0.0333	0.586	0.591	-0.00434	0.711	3
CuGdCpD	0.0739	0.0112	0.541	0.535	0.00578	0.00716	3
CuGdCtD	0.323	0.0156	0.599	0.636	-0.0369	1	3
CuGdDrD	0.31	0.0192	0.562	0.545	0.0176	0.084	3
CuGeAlD	0.645	0.111	0.598	0.59	0.0083	0.023	3
CuGiGaD	0.491	0.027	0.615	0.619	-0.0034	0.972	3
CuGiGdD	0.247	0.0346	0.571	0.565	0.00581	0.0306	3
CuGiGuD	0.261	0.0376	0.571	0.571	1.93e-05	0.497	3
CuGr>GaD	0.549	0.0286	0.612	0.616	-0.00462	0.916	3
CuGr>GdD	0.275	0.0417	0.576	0.571	0.00521	0.0788	3
CuGr>GuD	0.29	0.0528	0.579	0.578	0.00159	0.169	3
CuGuAlD	0.483	0.0321	0.583	0.588	-0.00588	0.777	3
CuGuCpD	0.144	0.0124	0.563	0.555	0.00798	0.0435	3
CuGuCtD	0.463	0.0185	0.665	0.638	0.0277	0.000654	3
CuGuDrD	0.322	0.021	0.544	0.548	-0.00324	0.61	3
CbG<rG<rGaD	0.869	0.057	0.652	0.591	0.0604	3.44e-06	4
CbG<rG<rGdD	0.416	0.0767	0.583	0.566	0.0168	0.00506	4
CbG<rG<rGuD	0.421	0.0958	0.587	0.581	0.00544	0.00333	4
CbG<rGaDrD	0.716	0.017	0.566	0.519	0.0471	0.00037	4
CbG<rGbCpD	0.123	0.0123	0.563	0.548	0.0149	0.00315	4
CbG<rGbCtD	0.403	0.0128	0.651	0.603	0.0474	0.00104	4
CbG<rGcGaD	0.602	0.016	0.629	0.591	0.0381	0.000632	4
CbG<rGcGdD	0.353	0.0275	0.571	0.551	0.0194	0.0012	4
CbG<rGcGuD	0.349	0.0269	0.561	0.553	0.00847	0.00751	4
CbG<rGdAlD	0.733	0.0422	0.595	0.548	0.0467	0.00255	4
CbG<rGdCpD	0.205	0.0119	0.561	0.566	-0.00551	0.942	4
CbG<rGdCtD	0.69	0.0221	0.656	0.636	0.0197	0.0121	4
CbG<rGdDrD	0.58	0.0232	0.524	0.513	0.0112	0.256	4
CbG<rGeAlD	0.864	0.186	0.608	0.547	0.0609	0.000167	4
CbG<rGiGaD	0.855	0.0406	0.646	0.595	0.0506	8.81e-05	4
CbG<rGiGdD	0.42	0.0592	0.582	0.566	0.0157	0.00547	4
CbG<rGiGuD	0.416	0.0686	0.588	0.58	0.00789	0.0106	4
CbG<rGr>GaD	0.879	0.0786	0.663	0.597	0.0657	3.01e-06	4
CbG<rGr>GdD	0.424	0.174	0.585	0.571	0.0144	0.0034	4
CbG<rGr>GuD	0.448	0.244	0.597	0.587	0.00992	0.0114	4
CbG<rGuAlD	0.732	0.0402	0.59	0.55	0.0397	0.00451	4
CbG<rGuCpD	0.19	0.0121	0.573	0.553	0.0201	0.0198	4
CbG<rGuCtD	0.668	0.0219	0.66	0.637	0.0228	0.00237	4
CbG<rGuDrD	0.577	0.0247	0.532	0.513	0.0182	0.138	4
CbGaDaGaD	0.975	0.0411	0.693	0.634	0.0592	3.12e-06	4
CbGaDaGdD	0.473	0.0304	0.576	0.566	0.00981	0.000221	4
CbGaDaGuD	0.472	0.0346	0.583	0.578	0.00519	0.172	4
CbGaDdGaD	0.94	0.0284	0.663	0.632	0.0309	0.000214	4
CbGaDdGdD	0.474	0.0598	0.582	0.571	0.011	0.00017	4
CbGaDdGuD	0.484	0.0493	0.589	0.584	0.00505	0.0546	4
CbGaDlAlD	0.955	0.0234	0.646	0.568	0.0776	5.99e-06	4
CbGaDpCpD	0.259	0.0113	0.582	0.572	0.01	0.0411	4
CbGaDpCtD	0.34	0.0118	0.639	0.637	0.00187	0.4	4
CbGaDpSpD	0.961	0.0242	0.634	0.562	0.0728	9.7e-07	4
CbGaDrDrD	0.796	0.0132	0.603	0.519	0.0838	4.99e-05	4
CbGaDtCpD	0.176	0.0112	0.57	0.575	-0.00425	0.653	4
CbGaDtCtD	0.73	0.013	0.719	0.667	0.0522	0.00047	4
CbGaDuGaD	0.94	0.0293	0.663	0.63	0.0331	0.000156	4
CbGaDuGdD	0.474	0.0491	0.578	0.57	0.00792	0.000889	4
CbGaDuGuD	0.478	0.0724	0.591	0.586	0.00511	0.0109	4
CbGbCbGaD	0.905	0.0382	0.686	0.651	0.0349	0.000326	4
CbGbCbGdD	0.401	0.0324	0.552	0.563	-0.0108	0.994	4
CbGbCbGuD	0.417	0.0295	0.566	0.567	-0.000703	0.589	4
CbGbCdGaD	0.89	0.0353	0.658	0.648	0.0102	0.0103	4
CbGbCdGdD	0.42	0.068	0.562	0.567	-0.00426	0.989	4
CbGbCdGuD	0.47	0.101	0.591	0.581	0.0104	0.0106	4
CbGbCpDrD	0.619	0.0157	0.535	0.496	0.0393	0.000176	4
CbGbCrCpD	0.359	0.0157	0.6	0.607	-0.00698	0.771	4
CbGbCrCtD	0.744	0.0217	0.881	0.702	0.179	1.89e-08	4
CbGbCtDrD	0.791	0.0201	0.696	0.526	0.169	9.39e-06	4
CbGbCuGaD	0.917	0.0389	0.667	0.653	0.0139	0.0272	4
CbGbCuGdD	0.448	0.0636	0.576	0.568	0.00737	0.0202	4
CbGbCuGuD	0.456	0.0785	0.583	0.579	0.00388	0.0247	4
CbGcG<rGaD	0.768	0.0344	0.594	0.6	-0.00556	0.883	4
CbGcG<rGdD	0.365	0.0429	0.531	0.55	-0.019	0.992	4
CbGcG<rGuD	0.374	0.0514	0.543	0.56	-0.0165	0.987	4
CbGcGaDrD	0.472	0.0132	0.502	0.509	-0.0069	0.875	4
CbGcGbCpD	0.0207	0.0118	0.504	0.517	-0.0138	0.95	4
CbGcGbCtD	0.155	0.0124	0.547	0.558	-0.0111	0.985	4
CbGcGcGaD	0.648	0.0167	0.587	0.619	-0.0315	0.997	4
CbGcGcGdD	0.37	0.0255	0.547	0.559	-0.0118	0.996	4
CbGcGcGuD	0.37	0.0248	0.54	0.563	-0.0229	1	4
CbGcGdAlD	0.746	0.0339	0.57	0.554	0.0168	0.144	4
CbGcGdCpD	0.0514	0.0112	0.513	0.518	-0.00421	0.825	4
CbGcGdCtD	0.309	0.0146	0.558	0.632	-0.074	1	4
CbGcGdDrD	0.501	0.0215	0.483	0.507	-0.0238	0.886	4
CbGcGeAlD	0.917	0.139	0.573	0.556	0.0164	0.0817	4
CbGcGiGaD	0.761	0.0271	0.612	0.615	-0.00307	0.783	4
CbGcGiGdD	0.362	0.037	0.539	0.55	-0.0114	0.995	4
CbGcGiGuD	0.355	0.0401	0.53	0.557	-0.0261	0.999	4
CbGcGr>GaD	0.726	0.028	0.607	0.608	-0.000362	0.529	4
CbGcGr>GdD	0.363	0.0425	0.55	0.555	-0.00481	0.858	4
CbGcGr>GuD	0.356	0.0551	0.545	0.566	-0.0211	0.996	4
CbGcGuAlD	0.753	0.033	0.571	0.552	0.0189	0.136	4
CbGcGuCpD	0.0673	0.0123	0.519	0.513	0.00597	0.151	4
CbGcGuCtD	0.43	0.0145	0.582	0.634	-0.0516	1	4
CbGcGuDrD	0.52	0.0217	0.482	0.51	-0.0281	0.926	4
CbGdAdGaD	0.971	0.0972	0.663	0.643	0.0196	0.00316	4
CbGdAdGdD	0.5	0.343	0.578	0.573	0.00508	0.0321	4
CbGdAdGuD	0.51	0.351	0.592	0.587	0.00422	0.032	4
CbGdAeGaD	0.971	0.246	0.653	0.642	0.0113	0.0183	4
CbGdAeGdD	0.501	0.961	0.576	0.573	0.00371	0.0746	4
CbGdAeGuD	0.51	1.02	0.59	0.589	0.00102	0.335	4
CbGdAlDrD	0.872	0.0162	0.503	0.515	-0.0122	0.947	4
CbGdAuGaD	0.971	0.0836	0.651	0.643	0.00819	0.0411	4
CbGdAuGdD	0.501	0.303	0.577	0.573	0.00401	0.0558	4
CbGdAuGuD	0.509	0.322	0.591	0.588	0.00375	0.0429	4
CbGdCbGaD	0.439	0.0131	0.606	0.563	0.0426	0.000431	4
CbGdCbGdD	0.208	0.0141	0.552	0.525	0.0264	0.000456	4
CbGdCbGuD	0.232	0.0148	0.552	0.529	0.0237	0.00114	4
CbGdCdGaD	0.647	0.0198	0.631	0.566	0.0646	1.12e-05	4
CbGdCdGdD	0.312	0.0279	0.581	0.554	0.0276	6.85e-05	4
CbGdCdGuD	0.335	0.0339	0.587	0.561	0.026	4.49e-05	4
CbGdCpDrD	0.0442	0.011	0.508	0.501	0.00692	0.0338	4
CbGdCrCpD	0.0506	0.0116	0.534	0.522	0.0124	0.00492	4
CbGdCrCtD	0.197	0.0114	0.644	0.562	0.0821	0.000211	4
CbGdCtDrD	0.253	0.0111	0.58	0.514	0.0653	9.59e-05	4
CbGdCuGaD	0.668	0.0208	0.64	0.566	0.074	4.83e-06	4
CbGdCuGdD	0.32	0.0276	0.58	0.555	0.025	0.000301	4
CbGdCuGuD	0.331	0.0307	0.578	0.561	0.0173	0.000936	4
CbGdDaGaD	0.976	0.0305	0.645	0.636	0.00945	0.0571	4
CbGdDaGdD	0.459	0.0258	0.565	0.563	0.00201	0.129	4
CbGdDaGuD	0.451	0.03	0.567	0.572	-0.00488	0.816	4
CbGdDdGaD	0.98	0.0453	0.667	0.651	0.0159	0.00173	4
CbGdDdGdD	0.502	0.157	0.576	0.573	0.00366	0.0614	4
CbGdDdGuD	0.509	0.126	0.589	0.587	0.00208	0.248	4
CbGdDlAlD	0.951	0.017	0.612	0.569	0.0426	0.000343	4
CbGdDpCpD	0.197	0.0113	0.552	0.556	-0.00488	0.75	4
CbGdDpCtD	0.274	0.0118	0.591	0.636	-0.0446	0.994	4
CbGdDpSpD	0.948	0.0214	0.591	0.565	0.0257	0.0018	4
CbGdDrDrD	0.776	0.0136	0.551	0.52	0.0306	0.0033	4
CbGdDtCpD	0.108	0.0112	0.534	0.549	-0.0152	0.906	4
CbGdDtCtD	0.596	0.0124	0.602	0.673	-0.071	1	4
CbGdDuGaD	0.98	0.0527	0.67	0.651	0.0186	0.000872	4
CbGdDuGdD	0.504	0.128	0.575	0.572	0.00309	0.0697	4
CbGdDuGuD	0.498	0.188	0.585	0.589	-0.00422	0.931	4
CbGeAdGaD	0.984	0.162	0.668	0.651	0.0172	0.000361	4
CbGeAdGdD	0.507	0.627	0.583	0.573	0.01	0.00332	4
CbGeAdGuD	0.517	0.627	0.597	0.587	0.0091	0.00315	4
CbGeAeGaD	0.984	0.837	0.685	0.649	0.0364	7.17e-06	4
CbGeAeGdD	0.508	3.1	0.58	0.573	0.00711	0.00825	4
CbGeAeGuD	0.517	3.35	0.594	0.59	0.00388	0.0719	4
CbGeAlDrD	0.943	0.0241	0.587	0.519	0.0677	9.22e-06	4
CbGeAuGaD	0.984	0.163	0.678	0.651	0.027	5.13e-05	4
CbGeAuGdD	0.507	0.595	0.583	0.572	0.0107	0.00261	4
CbGeAuGuD	0.517	0.67	0.597	0.588	0.00892	0.00285	4
CbGiG<rGaD	0.941	0.0464	0.646	0.623	0.0228	0.00116	4
CbGiG<rGdD	0.452	0.0595	0.572	0.566	0.00604	0.0557	4
CbGiG<rGuD	0.447	0.0735	0.575	0.581	-0.00646	0.939	4
CbGiGaDrD	0.809	0.0155	0.573	0.522	0.051	0.00016	4
CbGiGbCpD	0.194	0.0117	0.576	0.548	0.0279	0.000891	4
CbGiGbCtD	0.531	0.0133	0.727	0.618	0.109	2.45e-05	4
CbGiGcGaD	0.701	0.0189	0.621	0.622	-0.00101	0.553	4
CbGiGcGdD	0.395	0.0267	0.563	0.56	0.00281	0.174	4
CbGiGcGuD	0.416	0.0269	0.565	0.558	0.00683	0.019	4
CbGiGdAlD	0.818	0.0421	0.577	0.559	0.0173	0.143	4
CbGiGdCpD	0.15	0.0119	0.536	0.554	-0.018	0.991	4
CbGiGdCtD	0.655	0.0203	0.649	0.666	-0.0168	0.988	4
CbGiGdDrD	0.638	0.0229	0.499	0.515	-0.0152	0.827	4
CbGiGeAlD	0.966	0.183	0.608	0.563	0.0449	0.00339	4
CbGiGiGaD	0.968	0.0571	0.691	0.64	0.0505	6.08e-05	4
CbGiGiGdD	0.487	0.118	0.575	0.574	0.000777	0.351	4
CbGiGiGuD	0.489	0.141	0.594	0.593	0.000956	0.316	4
CbGiGr>GaD	0.924	0.0379	0.643	0.63	0.0122	0.0237	4
CbGiGr>GdD	0.437	0.0678	0.573	0.572	0.000478	0.419	4
CbGiGr>GuD	0.454	0.0921	0.579	0.587	-0.00759	0.95	4
CbGiGuAlD	0.816	0.039	0.599	0.562	0.0375	0.0253	4
CbGiGuCpD	0.163	0.0122	0.55	0.547	0.0022	0.32	4
CbGiGuCtD	0.638	0.0192	0.612	0.667	-0.0551	1	4
CbGiGuDrD	0.641	0.0245	0.513	0.517	-0.00337	0.576	4
CbGpBPpGaD	0.985	0.236	0.68	0.643	0.0373	4.11e-05	4
CbGpBPpGdD	0.491	0.282	0.577	0.573	0.00445	0.0246	4
CbGpBPpGuD	0.487	0.336	0.581	0.588	-0.00671	0.999	4
CbGpCCpGaD	0.954	0.0323	0.649	0.638	0.0108	0.0168	4
CbGpCCpGdD	0.479	0.0478	0.572	0.57	0.00246	0.0835	4
CbGpCCpGuD	0.46	0.0533	0.573	0.582	-0.00854	0.996	4
CbGpMFpGaD	0.97	0.0361	0.687	0.651	0.0354	6.16e-05	4
CbGpMFpGdD	0.481	0.0662	0.572	0.572	0.000284	0.408	4
CbGpMFpGuD	0.485	0.0699	0.586	0.585	0.00193	0.165	4
CbGpPWpGaD	0.964	0.0337	0.699	0.644	0.0555	1.17e-05	4
CbGpPWpGdD	0.46	0.0337	0.574	0.568	0.00676	3.62e-06	4
CbGpPWpGuD	0.461	0.0385	0.582	0.582	0.000264	0.437	4
CbGr>G<rGaD	0.883	0.133	0.651	0.61	0.0412	1.09e-05	4
CbGr>G<rGdD	0.423	0.204	0.583	0.569	0.0145	0.00638	4
CbGr>G<rGuD	0.436	0.255	0.591	0.587	0.00416	0.0499	4
CbGr>GaDrD	0.745	0.0161	0.57	0.522	0.0488	0.000469	4
CbGr>GbCpD	0.109	0.0122	0.555	0.544	0.011	0.134	4
CbGr>GbCtD	0.459	0.0128	0.642	0.625	0.0169	0.0174	4
CbGr>GcGaD	0.713	0.0179	0.632	0.601	0.0315	1.08e-06	4
CbGr>GcGdD	0.364	0.0269	0.576	0.557	0.0191	5.5e-05	4
CbGr>GcGuD	0.374	0.0269	0.576	0.559	0.0167	3.33e-05	4
CbGr>GdAlD	0.741	0.0414	0.59	0.553	0.0371	0.0136	4
CbGr>GdCpD	0.298	0.0122	0.584	0.596	-0.012	0.98	4
CbGr>GdCtD	0.817	0.0274	0.67	0.655	0.0157	0.00789	4
CbGr>GdDrD	0.613	0.0237	0.532	0.514	0.0176	0.152	4
CbGr>GeAlD	0.872	0.191	0.608	0.553	0.0554	0.000711	4
CbGr>GiGaD	0.859	0.0366	0.647	0.608	0.0391	1.79e-05	4
CbGr>GiGdD	0.412	0.053	0.581	0.567	0.014	0.000423	4
CbGr>GiGuD	0.415	0.0612	0.587	0.582	0.00566	0.0061	4
CbGr>Gr>GaD	0.871	0.0468	0.645	0.608	0.0371	3.82e-05	4
CbGr>Gr>GdD	0.414	0.0911	0.582	0.571	0.011	0.00628	4
CbGr>Gr>GuD	0.433	0.125	0.59	0.587	0.00277	0.194	4
CbGr>GuAlD	0.741	0.041	0.59	0.554	0.0365	0.0123	4
CbGr>GuCpD	0.3	0.0124	0.59	0.576	0.0138	0.0692	4
CbGr>GuCtD	0.78	0.0256	0.658	0.653	0.00486	0.137	4
CbGr>GuDrD	0.619	0.0258	0.527	0.516	0.0116	0.247	4
CbGrPBrGaD	0.985	0.0857	0.692	0.648	0.0442	4.11e-06	4
CbGrPBrGdD	0.498	0.192	0.581	0.573	0.00785	0.00358	4
CbGrPBrGuD	0.512	0.234	0.593	0.59	0.0034	0.107	4
CbGuAdGaD	0.972	0.0726	0.658	0.646	0.0114	0.0047	4
CbGuAdGdD	0.501	0.268	0.579	0.573	0.00578	0.0239	4
CbGuAdGuD	0.51	0.259	0.593	0.588	0.00463	0.0286	4
CbGuAeGaD	0.972	0.194	0.67	0.646	0.0244	0.00032	4
CbGuAeGdD	0.501	0.784	0.579	0.573	0.00534	0.0234	4
CbGuAeGuD	0.51	0.846	0.593	0.59	0.00216	0.191	4
CbGuAlDrD	0.863	0.0145	0.581	0.518	0.0629	7.83e-05	4
CbGuAuGaD	0.972	0.0749	0.677	0.646	0.0306	0.000124	4
CbGuAuGdD	0.501	0.249	0.58	0.573	0.00676	0.0181	4
CbGuAuGuD	0.509	0.278	0.593	0.588	0.00479	0.0155	4
CbGuCbGaD	0.524	0.0142	0.63	0.584	0.0458	0.000102	4
CbGuCbGdD	0.237	0.0141	0.55	0.538	0.0118	0.0357	4
CbGuCbGuD	0.253	0.0157	0.541	0.537	0.00401	0.0196	4
CbGuCdGaD	0.704	0.0205	0.635	0.587	0.0488	0.000242	4
CbGuCdGdD	0.343	0.028	0.573	0.565	0.00767	0.00108	4
CbGuCdGuD	0.369	0.0342	0.589	0.577	0.0125	0.00862	4
CbGuCpDrD	0.0657	0.011	0.518	0.5	0.0184	0.000604	4
CbGuCrCpD	0.0673	0.0114	0.541	0.534	0.0067	0.047	4
CbGuCrCtD	0.251	0.0121	0.608	0.587	0.0213	0.0117	4
CbGuCtDrD	0.321	0.0116	0.546	0.525	0.021	0.00451	4
CbGuCuGaD	0.73	0.0224	0.652	0.587	0.0645	0.000155	4
CbGuCuGdD	0.353	0.0284	0.586	0.566	0.0201	0.000588	4
CbGuCuGuD	0.361	0.0312	0.581	0.575	0.00586	0.0501	4
CbGuDaGaD	0.959	0.0269	0.639	0.627	0.0116	0.0198	4
CbGuDaGdD	0.434	0.0229	0.567	0.562	0.00549	0.0483	4
CbGuDaGuD	0.436	0.0253	0.566	0.572	-0.00611	0.858	4
CbGuDdGaD	0.98	0.0383	0.654	0.644	0.0106	0.00427	4
CbGuDdGdD	0.499	0.123	0.579	0.573	0.00584	0.0274	4
CbGuDdGuD	0.505	0.102	0.59	0.587	0.00294	0.185	4
CbGuDlAlD	0.913	0.0161	0.59	0.563	0.0276	0.00442	4
CbGuDpCpD	0.164	0.0111	0.549	0.546	0.00235	0.4	4
CbGuDpCtD	0.23	0.0119	0.586	0.62	-0.0343	0.996	4
CbGuDpSpD	0.918	0.0193	0.598	0.564	0.0345	0.000213	4
CbGuDrDrD	0.694	0.0129	0.546	0.516	0.0301	0.0021	4
CbGuDtCpD	0.117	0.0106	0.534	0.548	-0.0133	0.838	4
CbGuDtCtD	0.541	0.0122	0.622	0.665	-0.0429	1	4
CbGuDuGaD	0.98	0.0447	0.67	0.644	0.026	0.000249	4
CbGuDuGdD	0.501	0.103	0.579	0.573	0.00639	0.0133	4
CbGuDuGuD	0.497	0.149	0.588	0.59	-0.0016	0.718	4
CcSEcCbGaD	0.961	0.745	0.658	0.658	-0.000305	0.525	4
CcSEcCbGdD	0.457	0.508	0.562	0.562	-0.000115	0.515	4
