hetnet	metapath	nonzero	auroc	auprc	mean_PC	seconds_per_query	permuted
hetio-ind	CbGaDpCtD	0.34	0.639	0.319	4.66	0.0118	0
hetio-ind	CbGaDpSpD	0.961	0.634	0.312	159	0.0242	0
hetio-ind	CbGaDrD	0.582	0.632	0.313	2.54	0.0134	0
hetio-ind	CbGaDrDrD	0.796	0.603	0.281	25.4	0.0132	0
hetio-ind	CbGaDtCpD	0.176	0.57	0.296	1.64	0.0112	0
hetio-ind	CbGaDtCtD	0.73	0.719	0.423	27.8	0.013	0
hetio-ind	CbGaDuGaD	0.94	0.663	0.344	337	0.0293	0
hetio-ind	CbGaDuGdD	0.474	0.578	0.243	892	0.0491	0
hetio-ind	CbGaDuGuD	0.478	0.591	0.257	1.39e+03	0.0724	0
hetio-ind	CbGbCbGaD	0.905	0.686	0.415	566	0.0382	0
hetio-ind	CbGbCbGdD	0.401	0.552	0.235	426	0.0324	0
hetio-ind	CbGbCbGuD	0.417	0.566	0.237	328	0.0295	0
hetio-ind	CbGbCdGaD	0.89	0.658	0.35	483	0.0353	0
hetio-ind	CbGbCdGdD	0.42	0.562	0.238	1.34e+03	0.068	0
hetio-ind	CbGbCdGuD	0.47	0.591	0.274	2.04e+03	0.101	0
hetio-ind	CbGbCpD	0.317	0.594	0.302	3.35	0.0118	0
hetio-ind	CbGbCpDrD	0.619	0.535	0.235	16.8	0.0157	0
hetio-ind	CbGbCrCpD	0.359	0.6	0.283	22.4	0.0157	0
hetio-ind	CbGbCrCtD	0.744	0.881	0.765	74.9	0.0217	0
hetio-ind	CbGbCtD	0.727	0.861	0.715	13.6	0.012	0
hetio-ind	CbGbCtDrD	0.791	0.696	0.437	52.8	0.0201	0
hetio-ind	CbGbCuGaD	0.917	0.667	0.358	607	0.0389	0
hetio-ind	CbGbCuGdD	0.448	0.576	0.256	1.3e+03	0.0636	0
hetio-ind	CbGbCuGuD	0.456	0.583	0.267	1.64e+03	0.0785	0
hetio-ind	CbGcG<rGaD	0.768	0.594	0.273	26.6	0.0344	0
hetio-ind	CbGcG<rGdD	0.365	0.531	0.215	35.7	0.0429	0
hetio-ind	CbGcG<rGuD	0.374	0.543	0.223	45.4	0.0514	0
hetio-ind	CbGcGaD	0.222	0.553	0.257	0.356	0.0154	0
hetio-ind	CbGcGaDrD	0.472	0.502	0.203	1.41	0.0132	0
hetio-ind	CbGcGbCpD	0.0207	0.504	0.231	0.0464	0.0118	0
hetio-ind	CbGcGbCtD	0.155	0.547	0.274	0.361	0.0124	0
hetio-ind	CbGcGcGaD	0.648	0.587	0.273	13.4	0.0167	0
hetio-ind	CbGcGcGdD	0.37	0.547	0.226	62.1	0.0255	0
hetio-ind	CbGcGcGuD	0.37	0.54	0.223	57.2	0.0248	0
hetio-ind	CbGcGdAlD	0.746	0.57	0.246	26	0.0339	0
hetio-ind	CbGcGdCpD	0.0514	0.513	0.243	0.144	0.0112	0
hetio-ind	CbGcGdCtD	0.309	0.558	0.273	2.44	0.0146	0
hetio-ind	CbGcGdD	0.221	0.5	0.204	1.44	0.0261	0
hetio-ind	CbGcGdDrD	0.501	0.483	0.201	6.27	0.0215	0
hetio-ind	CbGcGeAlD	0.917	0.573	0.242	126	0.139	0
hetio-ind	CbGcGiGaD	0.761	0.612	0.282	13	0.0271	0
hetio-ind	CbGcGiGdD	0.362	0.539	0.224	20.3	0.037	0
hetio-ind	CbGcGiGuD	0.355	0.53	0.221	24.6	0.0401	0
hetio-ind	CbGcGr>GaD	0.726	0.607	0.275	15.9	0.028	0
hetio-ind	CbGcGr>GdD	0.363	0.55	0.23	32.2	0.0425	0
hetio-ind	CbGcGr>GuD	0.356	0.545	0.229	42.4	0.0551	0
hetio-ind	CbGcGuAlD	0.753	0.571	0.247	25	0.033	0
hetio-ind	CbGcGuCpD	0.0673	0.519	0.249	0.184	0.0123	0
hetio-ind	CbGcGuCtD	0.43	0.582	0.28	3.72	0.0145	0
hetio-ind	CbGcGuD	0.232	0.508	0.213	1.37	0.0264	0
hetio-ind	CbGcGuDrD	0.52	0.482	0.196	5.95	0.0217	0
hetio-ind	CbGdAdGaD	0.971	0.663	0.348	2.34e+03	0.0972	0
hetio-ind	CbGdAdGdD	0.5	0.578	0.244	8.76e+03	0.343	0
hetio-ind	CbGdAdGuD	0.51	0.592	0.248	8.75e+03	0.351	0
hetio-ind	CbGdAeGaD	0.971	0.653	0.337	6.1e+03	0.246	0
hetio-ind	CbGdAeGdD	0.501	0.576	0.242	2.54e+04	0.961	0
hetio-ind	CbGdAeGuD	0.51	0.59	0.248	2.64e+04	1.02	0
hetio-ind	CbGdAlD	0.71	0.566	0.254	7.01	0.0372	0
hetio-ind	CbGdAlDrD	0.872	0.503	0.218	54.9	0.0162	0
hetio-ind	CbGdAuGaD	0.971	0.651	0.335	1.98e+03	0.0836	0
hetio-ind	CbGdAuGdD	0.501	0.577	0.243	7.9e+03	0.303	0
hetio-ind	CbGdAuGuD	0.509	0.591	0.247	8.1e+03	0.322	0
hetio-ind	CbGdCbGaD	0.439	0.606	0.314	10.7	0.0131	0
hetio-ind	CbGdCbGdD	0.208	0.552	0.266	9.24	0.0141	0
hetio-ind	CbGdCbGuD	0.232	0.552	0.254	8.26	0.0148	0
hetio-ind	CbGdCdGaD	0.647	0.631	0.341	90	0.0198	0
hetio-ind	CbGdCdGdD	0.312	0.581	0.265	273	0.0279	0
hetio-ind	CbGdCdGuD	0.335	0.587	0.285	421	0.0339	0
hetio-ind	CbGdCpD	0.0127	0.505	0.267	0.0238	0.0114	0
hetio-ind	CbGdCpDrD	0.0442	0.508	0.228	0.109	0.011	0
hetio-ind	CbGdCrCpD	0.0506	0.534	0.326	0.299	0.0116	0
hetio-ind	CbGdCrCtD	0.197	0.644	0.406	2.14	0.0114	0
hetio-ind	CbGdCtD	0.15	0.607	0.389	0.716	0.0157	0
hetio-ind	CbGdCtDrD	0.253	0.58	0.295	3.37	0.0111	0
hetio-ind	CbGdCuGaD	0.668	0.64	0.348	116	0.0208	0
hetio-ind	CbGdCuGdD	0.32	0.58	0.275	287	0.0276	0
hetio-ind	CbGdCuGuD	0.331	0.578	0.274	346	0.0307	0
hetio-ind	CbGdD	0.149	0.512	0.216	0.396	0.0136	0
hetio-ind	CbGdDaGaD	0.976	0.645	0.319	385	0.0305	0
hetio-ind	CbGdDaGdD	0.459	0.565	0.238	214	0.0258	0
hetio-ind	CbGdDaGuD	0.451	0.567	0.239	324	0.03	0
hetio-ind	CbGdDdGaD	0.98	0.667	0.344	911	0.0453	0
hetio-ind	CbGdDdGdD	0.502	0.576	0.243	3.82e+03	0.157	0
hetio-ind	CbGdDdGuD	0.509	0.589	0.245	3e+03	0.126	0
hetio-ind	CbGdDlAlD	0.951	0.612	0.266	70.6	0.017	0
hetio-ind	CbGdDpCpD	0.197	0.552	0.272	3.05	0.0113	0
hetio-ind	CbGdDpCtD	0.274	0.591	0.271	5.1	0.0118	0
hetio-ind	CbGdDpSpD	0.948	0.591	0.264	107	0.0214	0
hetio-ind	CbGdDrD	0.428	0.502	0.22	2.05	0.0233	0
hetio-ind	CbGdDrDrD	0.776	0.551	0.249	23	0.0136	0
hetio-ind	CbGdDtCpD	0.108	0.534	0.271	0.866	0.0112	0
hetio-ind	CbGdDtCtD	0.596	0.602	0.298	18.9	0.0124	0
hetio-ind	CbGdDuGaD	0.98	0.67	0.344	1.1e+03	0.0527	0
hetio-ind	CbGdDuGdD	0.504	0.575	0.241	3.08e+03	0.128	0
hetio-ind	CbGdDuGuD	0.498	0.585	0.248	4.51e+03	0.188	0
hetio-ind	CbGeAdGaD	0.984	0.668	0.343	4.26e+03	0.162	0
hetio-ind	CbGeAdGdD	0.507	0.583	0.251	1.69e+04	0.627	0
hetio-ind	CbGeAdGuD	0.517	0.597	0.253	1.63e+04	0.627	0
hetio-ind	CbGeAeGaD	0.984	0.685	0.362	2.21e+04	0.837	0
hetio-ind	CbGeAeGdD	0.508	0.58	0.246	8.53e+04	3.1	0
hetio-ind	CbGeAeGuD	0.517	0.594	0.252	8.95e+04	3.35	0
hetio-ind	CbGeAlD	0.935	0.656	0.332	29.2	0.155	0
hetio-ind	CbGeAlDrD	0.943	0.587	0.267	229	0.0241	0
hetio-ind	CbGeAuGaD	0.984	0.678	0.355	4.1e+03	0.163	0
hetio-ind	CbGeAuGdD	0.507	0.583	0.251	1.59e+04	0.595	0
hetio-ind	CbGeAuGuD	0.517	0.597	0.253	1.7e+04	0.67	0
hetio-ind	CbGiG<rGaD	0.941	0.646	0.323	304	0.0464	0
hetio-ind	CbGiG<rGdD	0.452	0.572	0.247	440	0.0595	0
hetio-ind	CbGiG<rGuD	0.447	0.575	0.251	553	0.0735	0
hetio-ind	CbGiGaD	0.605	0.673	0.363	6.73	0.0288	0
hetio-ind	CbGiGaDrD	0.809	0.573	0.242	31.3	0.0155	0
hetio-ind	CbGiGbCpD	0.194	0.576	0.287	1.1	0.0117	0
hetio-ind	CbGiGbCtD	0.531	0.727	0.487	6.01	0.0133	0
hetio-ind	CbGiGcGaD	0.701	0.621	0.285	11.3	0.0189	0
hetio-ind	CbGiGcGdD	0.395	0.563	0.239	59.9	0.0267	0
hetio-ind	CbGiGcGuD	0.416	0.565	0.241	59.2	0.0269	0
hetio-ind	CbGiGdAlD	0.818	0.577	0.251	174	0.0421	0
hetio-ind	CbGiGdCpD	0.15	0.536	0.253	1.73	0.0119	0
hetio-ind	CbGiGdCtD	0.655	0.649	0.352	45.2	0.0203	0
hetio-ind	CbGiGdD	0.33	0.55	0.237	9.74	0.0406	0
hetio-ind	CbGiGdDrD	0.638	0.499	0.212	41.2	0.0229	0
hetio-ind	CbGiGeAlD	0.966	0.608	0.267	1.07e+03	0.183	0
hetio-ind	CbGiGiGaD	0.968	0.691	0.357	863	0.0571	0
hetio-ind	CbGiGiGdD	0.487	0.575	0.248	2.23e+03	0.118	0
hetio-ind	CbGiGiGuD	0.489	0.594	0.259	2.64e+03	0.141	0
hetio-ind	CbGiGr>GaD	0.924	0.643	0.308	280	0.0379	0
hetio-ind	CbGiGr>GdD	0.437	0.573	0.246	656	0.0678	0
hetio-ind	CbGiGr>GuD	0.454	0.579	0.256	938	0.0921	0
hetio-ind	CbGiGuAlD	0.816	0.599	0.273	164	0.039	0
hetio-ind	CbGiGuCpD	0.163	0.55	0.267	2.04	0.0122	0
hetio-ind	CbGiGuCtD	0.638	0.612	0.321	35.2	0.0192	0
hetio-ind	CbGiGuD	0.334	0.551	0.244	11.4	0.0441	0
hetio-ind	CbGiGuDrD	0.641	0.513	0.224	50.1	0.0245	0
hetio-ind	CbGpBPpGaD	0.985	0.68	0.369	5.12e+03	0.236	0
hetio-ind	CbGpBPpGdD	0.491	0.577	0.244	6.26e+03	0.282	0
hetio-ind	CbGpBPpGuD	0.487	0.581	0.245	7.25e+03	0.336	0
hetio-ind	CbGpCCpGaD	0.954	0.649	0.345	406	0.0323	0
hetio-ind	CbGpCCpGdD	0.479	0.572	0.241	819	0.0478	0
hetio-ind	CbGpCCpGuD	0.46	0.573	0.244	928	0.0533	0
hetio-ind	CbGpMFpGaD	0.97	0.687	0.398	567	0.0361	0
hetio-ind	CbGpMFpGdD	0.481	0.572	0.242	1.32e+03	0.0662	0
hetio-ind	CbGpMFpGuD	0.485	0.586	0.249	1.36e+03	0.0699	0
hetio-ind	CbGpPWpGaD	0.964	0.699	0.385	414	0.0337	0
hetio-ind	CbGpPWpGdD	0.46	0.574	0.244	426	0.0337	0
hetio-ind	CbGpPWpGuD	0.461	0.582	0.249	491	0.0385	0
hetio-ind	CbGr>G<rGaD	0.883	0.651	0.337	2.61e+03	0.133	0
hetio-ind	CbGr>G<rGdD	0.423	0.583	0.258	4.35e+03	0.204	0
hetio-ind	CbGr>G<rGuD	0.436	0.591	0.264	5.28e+03	0.255	0
hetio-ind	CbGr>GaD	0.585	0.637	0.322	7.07	0.0293	0
hetio-ind	CbGr>GaDrD	0.745	0.57	0.247	35.5	0.0161	0
hetio-ind	CbGr>GbCpD	0.109	0.555	0.29	0.426	0.0122	0
hetio-ind	CbGr>GbCtD	0.459	0.642	0.342	5.29	0.0128	0
hetio-ind	CbGr>GcGaD	0.713	0.632	0.306	16.8	0.0179	0
hetio-ind	CbGr>GcGdD	0.364	0.576	0.262	86.5	0.0269	0
hetio-ind	CbGr>GcGuD	0.374	0.576	0.264	82.5	0.0269	0
hetio-ind	CbGr>GdAlD	0.741	0.59	0.269	273	0.0414	0
hetio-ind	CbGr>GdCpD	0.298	0.584	0.28	12.7	0.0122	0
hetio-ind	CbGr>GdCtD	0.817	0.67	0.365	237	0.0274	0
hetio-ind	CbGr>GdD	0.313	0.562	0.255	15.8	0.0467	0
hetio-ind	CbGr>GdDrD	0.613	0.532	0.241	72.8	0.0237	0
hetio-ind	CbGr>GeAlD	0.872	0.608	0.274	1.79e+03	0.191	0
hetio-ind	CbGr>GiGaD	0.859	0.647	0.333	316	0.0366	0
hetio-ind	CbGr>GiGdD	0.412	0.581	0.263	519	0.053	0
hetio-ind	CbGr>GiGuD	0.415	0.587	0.273	646	0.0612	0
hetio-ind	CbGr>Gr>GaD	0.871	0.645	0.329	564	0.0468	0
hetio-ind	CbGr>Gr>GdD	0.414	0.582	0.256	1.38e+03	0.0911	0
hetio-ind	CbGr>Gr>GuD	0.433	0.59	0.269	1.91e+03	0.125	0
hetio-ind	CbGr>GuAlD	0.741	0.59	0.27	272	0.041	0
hetio-ind	CbGr>GuCpD	0.3	0.59	0.285	9.74	0.0124	0
hetio-ind	CbGr>GuCtD	0.78	0.658	0.36	179	0.0256	0
hetio-ind	CbGr>GuD	0.332	0.565	0.269	22.5	0.0613	0
hetio-ind	CbGr>GuDrD	0.619	0.527	0.245	106	0.0258	0
hetio-ind	CbGrPBrGaD	0.985	0.692	0.372	1.6e+03	0.0857	0
hetio-ind	CbGrPBrGdD	0.498	0.581	0.248	3.97e+03	0.192	0
hetio-ind	CbGrPBrGuD	0.512	0.593	0.255	4.72e+03	0.234	0
hetio-ind	CbGuAdGaD	0.972	0.658	0.335	1.62e+03	0.0726	0
hetio-ind	CbGuAdGdD	0.501	0.579	0.246	6.73e+03	0.268	0
hetio-ind	CbGuAdGuD	0.51	0.593	0.248	6.31e+03	0.259	0
hetio-ind	CbGuAeGaD	0.972	0.67	0.348	4.62e+03	0.194	0
hetio-ind	CbGuAeGdD	0.501	0.579	0.244	1.95e+04	0.784	0
hetio-ind	CbGuAeGuD	0.51	0.593	0.25	2.05e+04	0.846	0
hetio-ind	CbGuAlD	0.692	0.631	0.303	5.59	0.0359	0
hetio-ind	CbGuAlDrD	0.863	0.581	0.261	46.3	0.0145	0
hetio-ind	CbGuAuGaD	0.972	0.677	0.359	1.6e+03	0.0749	0
hetio-ind	CbGuAuGdD	0.501	0.58	0.247	5.97e+03	0.249	0
hetio-ind	CbGuAuGuD	0.509	0.593	0.25	6.55e+03	0.278	0
hetio-ind	CbGuCbGaD	0.524	0.63	0.306	12.6	0.0142	0
hetio-ind	CbGuCbGdD	0.237	0.55	0.254	10.6	0.0141	0
hetio-ind	CbGuCbGuD	0.253	0.541	0.239	9.78	0.0157	0
hetio-ind	CbGuCdGaD	0.704	0.635	0.318	95.1	0.0205	0
hetio-ind	CbGuCdGdD	0.343	0.573	0.25	343	0.028	0
hetio-ind	CbGuCdGuD	0.369	0.589	0.265	482	0.0342	0
hetio-ind	CbGuCpD	0.0212	0.515	0.316	0.0344	0.0119	0
hetio-ind	CbGuCpDrD	0.0657	0.518	0.248	0.163	0.011	0
hetio-ind	CbGuCrCpD	0.0673	0.541	0.313	0.276	0.0114	0
hetio-ind	CbGuCrCtD	0.251	0.608	0.332	2.15	0.0121	0
hetio-ind	CbGuCtD	0.194	0.594	0.327	0.737	0.0156	0
hetio-ind	CbGuCtDrD	0.321	0.546	0.251	3.71	0.0116	0
hetio-ind	CbGuCuGaD	0.73	0.652	0.329	139	0.0224	0
hetio-ind	CbGuCuGdD	0.353	0.586	0.26	346	0.0284	0
hetio-ind	CbGuCuGuD	0.361	0.581	0.259	419	0.0312	0
hetio-ind	CbGuD	0.135	0.517	0.23	0.337	0.0131	0
hetio-ind	CbGuDaGaD	0.959	0.639	0.329	239	0.0269	0
hetio-ind	CbGuDaGdD	0.434	0.567	0.252	124	0.0229	0
hetio-ind	CbGuDaGuD	0.436	0.566	0.25	180	0.0253	0
hetio-ind	CbGuDdGaD	0.98	0.654	0.34	649	0.0383	0
hetio-ind	CbGuDdGdD	0.499	0.579	0.249	2.84e+03	0.123	0
hetio-ind	CbGuDdGuD	0.505	0.59	0.251	2.28e+03	0.102	0
hetio-ind	CbGuDlAlD	0.913	0.59	0.265	45.8	0.0161	0
hetio-ind	CbGuDpCpD	0.164	0.549	0.277	1.55	0.0111	0
hetio-ind	CbGuDpCtD	0.23	0.586	0.274	2.46	0.0119	0
hetio-ind	CbGuDpSpD	0.918	0.598	0.285	71.8	0.0193	0
hetio-ind	CbGuDrD	0.361	0.501	0.214	1.37	0.0238	0
hetio-ind	CbGuDrDrD	0.694	0.546	0.249	14.2	0.0129	0
hetio-ind	CbGuDtCpD	0.117	0.534	0.262	1.09	0.0106	0
hetio-ind	CbGuDtCtD	0.541	0.622	0.337	13.1	0.0122	0
hetio-ind	CbGuDuGaD	0.98	0.67	0.352	810	0.0447	0
hetio-ind	CbGuDuGdD	0.501	0.579	0.248	2.3e+03	0.103	0
hetio-ind	CbGuDuGuD	0.497	0.588	0.254	3.27e+03	0.149	0
hetio-ind	CcSEcCbGaD	0.961	0.658	0.372	1.76e+04	0.745	0
hetio-ind	CcSEcCbGdD	0.457	0.562	0.236	1.29e+04	0.508	0
hetio-ind	CcSEcCbGuD	0.428	0.551	0.223	9.93e+03	0.414	0
hetio-ind	CcSEcCdGaD	0.949	0.65	0.354	1.74e+04	0.727	0
hetio-ind	CcSEcCdGdD	0.443	0.553	0.23	4.88e+04	1.73	0
hetio-ind	CcSEcCdGuD	0.473	0.58	0.263	7.35e+04	2.66	0
hetio-ind	CcSEcCpD	0.471	0.609	0.281	129	0.0198	0
hetio-ind	CcSEcCpDrD	0.748	0.524	0.225	691	0.111	0
hetio-ind	CcSEcCrCpD	0.464	0.601	0.271	765	0.0819	0
hetio-ind	CcSEcCrCtD	0.869	0.817	0.634	2.66e+03	0.193	0
hetio-ind	CcSEcCtD	0.957	0.816	0.663	551	0.0314	0
hetio-ind	CcSEcCtDrD	0.915	0.627	0.365	2.06e+03	0.179	0
hetio-ind	CcSEcCuGaD	0.952	0.661	0.363	2.21e+04	0.876	0
hetio-ind	CcSEcCuGdD	0.46	0.565	0.247	4.69e+04	1.68	0
hetio-ind	CcSEcCuGuD	0.486	0.582	0.259	5.8e+04	2.13	0
hetio-ind	CdG<rG<rGaD	0.682	0.61	0.335	2.42e+04	0.993	0
hetio-ind	CdG<rG<rGdD	0.334	0.584	0.276	3.41e+04	1.34	0
hetio-ind	CdG<rG<rGuD	0.345	0.588	0.282	4.16e+04	1.69	0
hetio-ind	CdG<rGaD	0.661	0.614	0.34	303	0.0428	0
hetio-ind	CdG<rGaDrD	0.656	0.566	0.262	1.45e+03	0.0984	0
hetio-ind	CdG<rGbCpD	0.292	0.598	0.306	24.7	0.0299	0
hetio-ind	CdG<rGbCtD	0.612	0.635	0.365	225	0.0516	0
hetio-ind	CdG<rGcGaD	0.674	0.606	0.312	457	0.0565	0
hetio-ind	CdG<rGcGdD	0.331	0.579	0.267	2.35e+03	0.121	0
hetio-ind	CdG<rGcGuD	0.343	0.587	0.277	2.2e+03	0.118	0
hetio-ind	CdG<rGdAlD	0.573	0.574	0.278	7.39e+03	0.329	0
hetio-ind	CdG<rGdCpD	0.284	0.576	0.279	159	0.0318	0
hetio-ind	CdG<rGdCtD	0.657	0.618	0.371	3.55e+03	0.183	0
hetio-ind	CdG<rGdD	0.323	0.578	0.272	437	0.0522	0
hetio-ind	CdG<rGdDrD	0.518	0.54	0.249	1.98e+03	0.118	0
hetio-ind	CdG<rGeAlD	0.673	0.586	0.282	4.69e+04	1.87	0
hetio-ind	CdG<rGiGaD	0.683	0.609	0.335	1.35e+04	0.561	0
hetio-ind	CdG<rGiGdD	0.354	0.585	0.274	2.11e+04	0.836	0
hetio-ind	CdG<rGiGuD	0.36	0.592	0.283	2.5e+04	1.03	0
hetio-ind	CdG<rGr>GaD	0.683	0.608	0.327	4.81e+04	1.89	0
hetio-ind	CdG<rGr>GdD	0.335	0.585	0.275	1.12e+05	4.23	0
hetio-ind	CdG<rGr>GuD	0.353	0.592	0.289	1.55e+05	5.86	0
hetio-ind	CdG<rGuAlD	0.573	0.573	0.282	7.62e+03	0.335	0
hetio-ind	CdG<rGuCpD	0.263	0.578	0.284	164	0.0319	0
hetio-ind	CdG<rGuCtD	0.649	0.617	0.37	3.18e+03	0.16	0
hetio-ind	CdG<rGuD	0.325	0.579	0.277	535	0.0621	0
hetio-ind	CdG<rGuDrD	0.519	0.541	0.252	2.51e+03	0.139	0
hetio-ind	CdGaD	0.199	0.6	0.338	0.991	0.0134	0
hetio-ind	CdGaDaGaD	0.596	0.612	0.322	1.18e+03	0.0629	0
hetio-ind	CdGaDaGdD	0.288	0.587	0.294	729	0.0441	0
hetio-ind	CdGaDaGuD	0.287	0.59	0.29	1.02e+03	0.0553	0
hetio-ind	CdGaDdGaD	0.558	0.606	0.315	717	0.045	0
hetio-ind	CdGaDdGdD	0.289	0.591	0.291	2.55e+03	0.113	0
hetio-ind	CdGaDdGuD	0.29	0.587	0.284	1.9e+03	0.0885	0
hetio-ind	CdGaDlAlD	0.565	0.595	0.275	213	0.0235	0
hetio-ind	CdGaDpCpD	0.149	0.571	0.323	4.85	0.0123	0
hetio-ind	CdGaDpCtD	0.169	0.571	0.295	6.98	0.0117	0
hetio-ind	CdGaDpSpD	0.567	0.594	0.286	274	0.0295	0
hetio-ind	CdGaDrD	0.325	0.569	0.272	4.94	0.0133	0
hetio-ind	CdGaDrDrD	0.452	0.582	0.282	59.4	0.0168	0
hetio-ind	CdGaDtCpD	0.103	0.556	0.325	2.78	0.0111	0
hetio-ind	CdGaDtCtD	0.415	0.609	0.349	61.1	0.0172	0
hetio-ind	CdGaDuGaD	0.564	0.612	0.328	730	0.0446	0
hetio-ind	CdGaDuGdD	0.288	0.586	0.283	1.98e+03	0.089	0
hetio-ind	CdGaDuGuD	0.289	0.591	0.291	3.06e+03	0.135	0
hetio-ind	CdGbCbGaD	0.315	0.599	0.316	17	0.0149	0
hetio-ind	CdGbCbGdD	0.153	0.558	0.287	17.1	0.015	0
hetio-ind	CdGbCbGuD	0.159	0.56	0.286	18.1	0.0142	0
hetio-ind	CdGbCdGaD	0.281	0.585	0.317	33.7	0.0159	0
hetio-ind	CdGbCdGdD	0.15	0.568	0.29	90	0.022	0
hetio-ind	CdGbCdGuD	0.161	0.564	0.298	140	0.0236	0
hetio-ind	CdGbCpD	0.0103	0.501	0.217	0.0254	0.011	0
hetio-ind	CdGbCpDrD	0.0313	0.501	0.21	0.0996	0.0111	0
hetio-ind	CdGbCrCpD	0.0336	0.508	0.24	0.321	0.0108	0
hetio-ind	CdGbCrCtD	0.159	0.615	0.375	2.41	0.0114	0
hetio-ind	CdGbCtD	0.132	0.6	0.377	0.746	0.0119	0
hetio-ind	CdGbCtDrD	0.191	0.573	0.295	3.52	0.0117	0
hetio-ind	CdGbCuGaD	0.294	0.59	0.31	45.2	0.0167	0
hetio-ind	CdGbCuGdD	0.155	0.569	0.298	98.1	0.0208	0
hetio-ind	CdGbCuGuD	0.155	0.566	0.296	120	0.022	0
hetio-ind	CdGcG<rGaD	0.525	0.599	0.327	262	0.041	0
hetio-ind	CdGcG<rGdD	0.268	0.565	0.276	328	0.0476	0
hetio-ind	CdGcG<rGuD	0.266	0.565	0.278	405	0.0563	0
hetio-ind	CdGcGaD	0.231	0.595	0.316	2.82	0.015	0
hetio-ind	CdGcGaDrD	0.358	0.557	0.258	12.9	0.016	0
hetio-ind	CdGcGbCpD	0.0707	0.544	0.314	0.365	0.0125	0
hetio-ind	CdGcGbCtD	0.179	0.592	0.329	1.8	0.0139	0
hetio-ind	CdGcGcGaD	0.494	0.608	0.317	181	0.0252	0
hetio-ind	CdGcGcGdD	0.275	0.566	0.274	918	0.0563	0
hetio-ind	CdGcGcGuD	0.28	0.569	0.279	845	0.0536	0
hetio-ind	CdGcGdAlD	0.522	0.571	0.278	228	0.0395	0
hetio-ind	CdGcGdCpD	0.0787	0.538	0.295	1.58	0.0121	0
hetio-ind	CdGcGdCtD	0.319	0.596	0.357	44	0.0189	0
hetio-ind	CdGcGdD	0.182	0.562	0.283	14.3	0.025	0
hetio-ind	CdGcGdDrD	0.377	0.54	0.253	62.4	0.0218	0
hetio-ind	CdGcGeAlD	0.639	0.586	0.284	1.24e+03	0.149	0
