metapath	metaedge	metaedge_abbrev
CbGdCtD	Compound - binds - Gene	CbG
CbGdCtD	Compound - downregulates - Gene	CdG
CbGdCtD	Compound - treats - Disease	CtD
CbGdDrD	Compound - binds - Gene	CbG
CbGdDrD	Disease - downregulates - Gene	DdG
CbGdDrD	Disease - resembles - Disease	DrD
CbGeAlD	Compound - binds - Gene	CbG
CbGeAlD	Anatomy - expresses - Gene	AeG
CbGeAlD	Disease - localizes - Anatomy	DlA
CbGiGaD	Compound - binds - Gene	CbG
CbGiGaD	Gene - interacts - Gene	GiG
CbGiGaD	Disease - associates - Gene	DaG
CbGiGdD	Compound - binds - Gene	CbG
CbGiGdD	Gene - interacts - Gene	GiG
CbGiGdD	Disease - downregulates - Gene	DdG
CbGiGuD	Compound - binds - Gene	CbG
CbGiGuD	Gene - interacts - Gene	GiG
CbGiGuD	Disease - upregulates - Gene	DuG
CbGr>GaD	Compound - binds - Gene	CbG
CbGr>GaD	Gene > regulates > Gene	GrG
CbGr>GaD	Disease - associates - Gene	DaG
CbGr>GdD	Compound - binds - Gene	CbG
CbGr>GdD	Gene > regulates > Gene	GrG
CbGr>GdD	Disease - downregulates - Gene	DdG
CbGr>GuD	Compound - binds - Gene	CbG
CbGr>GuD	Gene > regulates > Gene	GrG
CbGr>GuD	Disease - upregulates - Gene	DuG
CbGuAlD	Compound - binds - Gene	CbG
CbGuAlD	Anatomy - upregulates - Gene	AuG
CbGuAlD	Disease - localizes - Anatomy	DlA
CbGuCpD	Compound - binds - Gene	CbG
CbGuCpD	Compound - upregulates - Gene	CuG
CbGuCpD	Compound - palliates - Disease	CpD
CbGuCtD	Compound - binds - Gene	CbG
CbGuCtD	Compound - upregulates - Gene	CuG
CbGuCtD	Compound - treats - Disease	CtD
CbGuDrD	Compound - binds - Gene	CbG
CbGuDrD	Disease - upregulates - Gene	DuG
CbGuDrD	Disease - resembles - Disease	DrD
CcSEcCpD	Compound - causes - Side Effect	CcSE
CcSEcCpD	Compound - causes - Side Effect	CcSE
CcSEcCpD	Compound - palliates - Disease	CpD
CcSEcCtD	Compound - causes - Side Effect	CcSE
CcSEcCtD	Compound - causes - Side Effect	CcSE
CcSEcCtD	Compound - treats - Disease	CtD
CdG<rGaD	Compound - downregulates - Gene	CdG
CdG<rGaD	Gene > regulates > Gene	GrG
CdG<rGaD	Disease - associates - Gene	DaG
CdG<rGdD	Compound - downregulates - Gene	CdG
CdG<rGdD	Gene > regulates > Gene	GrG
CdG<rGdD	Disease - downregulates - Gene	DdG
CdG<rGuD	Compound - downregulates - Gene	CdG
CdG<rGuD	Gene > regulates > Gene	GrG
CdG<rGuD	Disease - upregulates - Gene	DuG
CdGaDrD	Compound - downregulates - Gene	CdG
CdGaDrD	Disease - associates - Gene	DaG
CdGaDrD	Disease - resembles - Disease	DrD
CdGbCpD	Compound - downregulates - Gene	CdG
CdGbCpD	Compound - binds - Gene	CbG
CdGbCpD	Compound - palliates - Disease	CpD
CdGbCtD	Compound - downregulates - Gene	CdG
CdGbCtD	Compound - binds - Gene	CbG
CdGbCtD	Compound - treats - Disease	CtD
CdGcGaD	Compound - downregulates - Gene	CdG
CdGcGaD	Gene - covaries - Gene	GcG
CdGcGaD	Disease - associates - Gene	DaG
CdGcGdD	Compound - downregulates - Gene	CdG
CdGcGdD	Gene - covaries - Gene	GcG
CdGcGdD	Disease - downregulates - Gene	DdG
CdGcGuD	Compound - downregulates - Gene	CdG
CdGcGuD	Gene - covaries - Gene	GcG
CdGcGuD	Disease - upregulates - Gene	DuG
CdGdAlD	Compound - downregulates - Gene	CdG
CdGdAlD	Anatomy - downregulates - Gene	AdG
CdGdAlD	Disease - localizes - Anatomy	DlA
CdGdCpD	Compound - downregulates - Gene	CdG
CdGdCpD	Compound - downregulates - Gene	CdG
CdGdCpD	Compound - palliates - Disease	CpD
CdGdCtD	Compound - downregulates - Gene	CdG
CdGdCtD	Compound - downregulates - Gene	CdG
CdGdCtD	Compound - treats - Disease	CtD
CdGdDrD	Compound - downregulates - Gene	CdG
CdGdDrD	Disease - downregulates - Gene	DdG
CdGdDrD	Disease - resembles - Disease	DrD
CdGeAlD	Compound - downregulates - Gene	CdG
CdGeAlD	Anatomy - expresses - Gene	AeG
CdGeAlD	Disease - localizes - Anatomy	DlA
CdGiGaD	Compound - downregulates - Gene	CdG
CdGiGaD	Gene - interacts - Gene	GiG
CdGiGaD	Disease - associates - Gene	DaG
CdGiGdD	Compound - downregulates - Gene	CdG
CdGiGdD	Gene - interacts - Gene	GiG
CdGiGdD	Disease - downregulates - Gene	DdG
CdGiGuD	Compound - downregulates - Gene	CdG
CdGiGuD	Gene - interacts - Gene	GiG
CdGiGuD	Disease - upregulates - Gene	DuG
CdGr>GaD	Compound - downregulates - Gene	CdG
CdGr>GaD	Gene > regulates > Gene	GrG
CdGr>GaD	Disease - associates - Gene	DaG
CdGr>GdD	Compound - downregulates - Gene	CdG
CdGr>GdD	Gene > regulates > Gene	GrG
CdGr>GdD	Disease - downregulates - Gene	DdG
CdGr>GuD	Compound - downregulates - Gene	CdG
CdGr>GuD	Gene > regulates > Gene	GrG
CdGr>GuD	Disease - upregulates - Gene	DuG
CdGuAlD	Compound - downregulates - Gene	CdG
CdGuAlD	Anatomy - upregulates - Gene	AuG
CdGuAlD	Disease - localizes - Anatomy	DlA
CdGuCpD	Compound - downregulates - Gene	CdG
CdGuCpD	Compound - upregulates - Gene	CuG
CdGuCpD	Compound - palliates - Disease	CpD
CdGuCtD	Compound - downregulates - Gene	CdG
CdGuCtD	Compound - upregulates - Gene	CuG
CdGuCtD	Compound - treats - Disease	CtD
CdGuDrD	Compound - downregulates - Gene	CdG
CdGuDrD	Disease - upregulates - Gene	DuG
CdGuDrD	Disease - resembles - Disease	DrD
CiPCiCpD	Pharmacologic Class - includes - Compound	PCiC
CiPCiCpD	Pharmacologic Class - includes - Compound	PCiC
CiPCiCpD	Compound - palliates - Disease	CpD
CiPCiCtD	Pharmacologic Class - includes - Compound	PCiC
CiPCiCtD	Pharmacologic Class - includes - Compound	PCiC
CiPCiCtD	Compound - treats - Disease	CtD
CpDaGaD	Compound - palliates - Disease	CpD
CpDaGaD	Disease - associates - Gene	DaG
CpDaGaD	Disease - associates - Gene	DaG
CpDaGdD	Compound - palliates - Disease	CpD
CpDaGdD	Disease - associates - Gene	DaG
CpDaGdD	Disease - downregulates - Gene	DdG
CpDaGuD	Compound - palliates - Disease	CpD
CpDaGuD	Disease - associates - Gene	DaG
CpDaGuD	Disease - upregulates - Gene	DuG
CpDdGaD	Compound - palliates - Disease	CpD
CpDdGaD	Disease - downregulates - Gene	DdG
CpDdGaD	Disease - associates - Gene	DaG
CpDdGdD	Compound - palliates - Disease	CpD
CpDdGdD	Disease - downregulates - Gene	DdG
CpDdGdD	Disease - downregulates - Gene	DdG
CpDdGuD	Compound - palliates - Disease	CpD
CpDdGuD	Disease - downregulates - Gene	DdG
CpDdGuD	Disease - upregulates - Gene	DuG
CpDlAlD	Compound - palliates - Disease	CpD
CpDlAlD	Disease - localizes - Anatomy	DlA
CpDlAlD	Disease - localizes - Anatomy	DlA
CpDpCpD	Compound - palliates - Disease	CpD
CpDpCpD	Compound - palliates - Disease	CpD
CpDpCpD	Compound - palliates - Disease	CpD
CpDpCtD	Compound - palliates - Disease	CpD
CpDpCtD	Compound - palliates - Disease	CpD
CpDpCtD	Compound - treats - Disease	CtD
CpDpSpD	Compound - palliates - Disease	CpD
CpDpSpD	Disease - presents - Symptom	DpS
CpDpSpD	Disease - presents - Symptom	DpS
CpDrDrD	Compound - palliates - Disease	CpD
CpDrDrD	Disease - resembles - Disease	DrD
CpDrDrD	Disease - resembles - Disease	DrD
CpDtCpD	Compound - palliates - Disease	CpD
CpDtCpD	Compound - treats - Disease	CtD
CpDtCpD	Compound - palliates - Disease	CpD
CpDtCtD	Compound - palliates - Disease	CpD
CpDtCtD	Compound - treats - Disease	CtD
CpDtCtD	Compound - treats - Disease	CtD
CpDuGaD	Compound - palliates - Disease	CpD
CpDuGaD	Disease - upregulates - Gene	DuG
CpDuGaD	Disease - associates - Gene	DaG
CpDuGdD	Compound - palliates - Disease	CpD
CpDuGdD	Disease - upregulates - Gene	DuG
CpDuGdD	Disease - downregulates - Gene	DdG
CpDuGuD	Compound - palliates - Disease	CpD
CpDuGuD	Disease - upregulates - Gene	DuG
CpDuGuD	Disease - upregulates - Gene	DuG
CrCbGaD	Compound - resembles - Compound	CrC
CrCbGaD	Compound - binds - Gene	CbG
CrCbGaD	Disease - associates - Gene	DaG
CrCbGdD	Compound - resembles - Compound	CrC
CrCbGdD	Compound - binds - Gene	CbG
CrCbGdD	Disease - downregulates - Gene	DdG
CrCbGuD	Compound - resembles - Compound	CrC
CrCbGuD	Compound - binds - Gene	CbG
CrCbGuD	Disease - upregulates - Gene	DuG
CrCdGaD	Compound - resembles - Compound	CrC
CrCdGaD	Compound - downregulates - Gene	CdG
CrCdGaD	Disease - associates - Gene	DaG
CrCdGdD	Compound - resembles - Compound	CrC
CrCdGdD	Compound - downregulates - Gene	CdG
CrCdGdD	Disease - downregulates - Gene	DdG
CrCdGuD	Compound - resembles - Compound	CrC
CrCdGuD	Compound - downregulates - Gene	CdG
CrCdGuD	Disease - upregulates - Gene	DuG
CrCpDrD	Compound - resembles - Compound	CrC
CrCpDrD	Compound - palliates - Disease	CpD
CrCpDrD	Disease - resembles - Disease	DrD
CrCrCpD	Compound - resembles - Compound	CrC
CrCrCpD	Compound - resembles - Compound	CrC
CrCrCpD	Compound - palliates - Disease	CpD
CrCrCtD	Compound - resembles - Compound	CrC
CrCrCtD	Compound - resembles - Compound	CrC
CrCrCtD	Compound - treats - Disease	CtD
CrCtDrD	Compound - resembles - Compound	CrC
CrCtDrD	Compound - treats - Disease	CtD
CrCtDrD	Disease - resembles - Disease	DrD
CrCuGaD	Compound - resembles - Compound	CrC
CrCuGaD	Compound - upregulates - Gene	CuG
CrCuGaD	Disease - associates - Gene	DaG
CrCuGdD	Compound - resembles - Compound	CrC
CrCuGdD	Compound - upregulates - Gene	CuG
CrCuGdD	Disease - downregulates - Gene	DdG
CrCuGuD	Compound - resembles - Compound	CrC
CrCuGuD	Compound - upregulates - Gene	CuG
CrCuGuD	Disease - upregulates - Gene	DuG
CtDaGaD	Compound - treats - Disease	CtD
CtDaGaD	Disease - associates - Gene	DaG
CtDaGaD	Disease - associates - Gene	DaG
CtDaGdD	Compound - treats - Disease	CtD
CtDaGdD	Disease - associates - Gene	DaG
CtDaGdD	Disease - downregulates - Gene	DdG
CtDaGuD	Compound - treats - Disease	CtD
CtDaGuD	Disease - associates - Gene	DaG
CtDaGuD	Disease - upregulates - Gene	DuG
CtDdGaD	Compound - treats - Disease	CtD
CtDdGaD	Disease - downregulates - Gene	DdG
CtDdGaD	Disease - associates - Gene	DaG
CtDdGdD	Compound - treats - Disease	CtD
CtDdGdD	Disease - downregulates - Gene	DdG
CtDdGdD	Disease - downregulates - Gene	DdG
CtDdGuD	Compound - treats - Disease	CtD
CtDdGuD	Disease - downregulates - Gene	DdG
CtDdGuD	Disease - upregulates - Gene	DuG
CtDlAlD	Compound - treats - Disease	CtD
CtDlAlD	Disease - localizes - Anatomy	DlA
CtDlAlD	Disease - localizes - Anatomy	DlA
CtDpCpD	Compound - treats - Disease	CtD
CtDpCpD	Compound - palliates - Disease	CpD
CtDpCpD	Compound - palliates - Disease	CpD
CtDpCtD	Compound - treats - Disease	CtD
CtDpCtD	Compound - palliates - Disease	CpD
CtDpCtD	Compound - treats - Disease	CtD
CtDpSpD	Compound - treats - Disease	CtD
CtDpSpD	Disease - presents - Symptom	DpS
CtDpSpD	Disease - presents - Symptom	DpS
CtDrDrD	Compound - treats - Disease	CtD
CtDrDrD	Disease - resembles - Disease	DrD
CtDrDrD	Disease - resembles - Disease	DrD
CtDtCpD	Compound - treats - Disease	CtD
CtDtCpD	Compound - treats - Disease	CtD
CtDtCpD	Compound - palliates - Disease	CpD
CtDtCtD	Compound - treats - Disease	CtD
CtDtCtD	Compound - treats - Disease	CtD
CtDtCtD	Compound - treats - Disease	CtD
CtDuGaD	Compound - treats - Disease	CtD
CtDuGaD	Disease - upregulates - Gene	DuG
CtDuGaD	Disease - associates - Gene	DaG
CtDuGdD	Compound - treats - Disease	CtD
CtDuGdD	Disease - upregulates - Gene	DuG
CtDuGdD	Disease - downregulates - Gene	DdG
CtDuGuD	Compound - treats - Disease	CtD
CtDuGuD	Disease - upregulates - Gene	DuG
CtDuGuD	Disease - upregulates - Gene	DuG
CuG<rGaD	Compound - upregulates - Gene	CuG
CuG<rGaD	Gene > regulates > Gene	GrG
CuG<rGaD	Disease - associates - Gene	DaG
CuG<rGdD	Compound - upregulates - Gene	CuG
CuG<rGdD	Gene > regulates > Gene	GrG
CuG<rGdD	Disease - downregulates - Gene	DdG
CuG<rGuD	Compound - upregulates - Gene	CuG
CuG<rGuD	Gene > regulates > Gene	GrG
CuG<rGuD	Disease - upregulates - Gene	DuG
CuGaDrD	Compound - upregulates - Gene	CuG
CuGaDrD	Disease - associates - Gene	DaG
CuGaDrD	Disease - resembles - Disease	DrD
CuGbCpD	Compound - upregulates - Gene	CuG
CuGbCpD	Compound - binds - Gene	CbG
CuGbCpD	Compound - palliates - Disease	CpD
CuGbCtD	Compound - upregulates - Gene	CuG
CuGbCtD	Compound - binds - Gene	CbG
CuGbCtD	Compound - treats - Disease	CtD
CuGcGaD	Compound - upregulates - Gene	CuG
CuGcGaD	Gene - covaries - Gene	GcG
CuGcGaD	Disease - associates - Gene	DaG
CuGcGdD	Compound - upregulates - Gene	CuG
CuGcGdD	Gene - covaries - Gene	GcG
CuGcGdD	Disease - downregulates - Gene	DdG
CuGcGuD	Compound - upregulates - Gene	CuG
CuGcGuD	Gene - covaries - Gene	GcG
CuGcGuD	Disease - upregulates - Gene	DuG
CuGdAlD	Compound - upregulates - Gene	CuG
CuGdAlD	Anatomy - downregulates - Gene	AdG
CuGdAlD	Disease - localizes - Anatomy	DlA
CuGdCpD	Compound - upregulates - Gene	CuG
CuGdCpD	Compound - downregulates - Gene	CdG
CuGdCpD	Compound - palliates - Disease	CpD
CuGdCtD	Compound - upregulates - Gene	CuG
CuGdCtD	Compound - downregulates - Gene	CdG
CuGdCtD	Compound - treats - Disease	CtD
CuGdDrD	Compound - upregulates - Gene	CuG
CuGdDrD	Disease - downregulates - Gene	DdG
CuGdDrD	Disease - resembles - Disease	DrD
CuGeAlD	Compound - upregulates - Gene	CuG
CuGeAlD	Anatomy - expresses - Gene	AeG
CuGeAlD	Disease - localizes - Anatomy	DlA
CuGiGaD	Compound - upregulates - Gene	CuG
CuGiGaD	Gene - interacts - Gene	GiG
CuGiGaD	Disease - associates - Gene	DaG
CuGiGdD	Compound - upregulates - Gene	CuG
CuGiGdD	Gene - interacts - Gene	GiG
CuGiGdD	Disease - downregulates - Gene	DdG
CuGiGuD	Compound - upregulates - Gene	CuG
CuGiGuD	Gene - interacts - Gene	GiG
CuGiGuD	Disease - upregulates - Gene	DuG
CuGr>GaD	Compound - upregulates - Gene	CuG
CuGr>GaD	Gene > regulates > Gene	GrG
CuGr>GaD	Disease - associates - Gene	DaG
CuGr>GdD	Compound - upregulates - Gene	CuG
CuGr>GdD	Gene > regulates > Gene	GrG
CuGr>GdD	Disease - downregulates - Gene	DdG
CuGr>GuD	Compound - upregulates - Gene	CuG
CuGr>GuD	Gene > regulates > Gene	GrG
CuGr>GuD	Disease - upregulates - Gene	DuG
CuGuAlD	Compound - upregulates - Gene	CuG
CuGuAlD	Anatomy - upregulates - Gene	AuG
CuGuAlD	Disease - localizes - Anatomy	DlA
CuGuCpD	Compound - upregulates - Gene	CuG
CuGuCpD	Compound - upregulates - Gene	CuG
CuGuCpD	Compound - palliates - Disease	CpD
CuGuCtD	Compound - upregulates - Gene	CuG
CuGuCtD	Compound - upregulates - Gene	CuG
CuGuCtD	Compound - treats - Disease	CtD
CuGuDrD	Compound - upregulates - Gene	CuG
CuGuDrD	Disease - upregulates - Gene	DuG
CuGuDrD	Disease - resembles - Disease	DrD
CbG<rG<rGaD	Compound - binds - Gene	CbG
CbG<rG<rGaD	Gene > regulates > Gene	GrG
CbG<rG<rGaD	Gene > regulates > Gene	GrG
CbG<rG<rGaD	Disease - associates - Gene	DaG
CbG<rG<rGdD	Compound - binds - Gene	CbG
CbG<rG<rGdD	Gene > regulates > Gene	GrG
CbG<rG<rGdD	Gene > regulates > Gene	GrG
CbG<rG<rGdD	Disease - downregulates - Gene	DdG
CbG<rG<rGuD	Compound - binds - Gene	CbG
CbG<rG<rGuD	Gene > regulates > Gene	GrG
CbG<rG<rGuD	Gene > regulates > Gene	GrG
CbG<rG<rGuD	Disease - upregulates - Gene	DuG
CbG<rGaDrD	Compound - binds - Gene	CbG
CbG<rGaDrD	Gene > regulates > Gene	GrG
CbG<rGaDrD	Disease - associates - Gene	DaG
CbG<rGaDrD	Disease - resembles - Disease	DrD
CbG<rGbCpD	Compound - binds - Gene	CbG
CbG<rGbCpD	Gene > regulates > Gene	GrG
CbG<rGbCpD	Compound - binds - Gene	CbG
CbG<rGbCpD	Compound - palliates - Disease	CpD
CbG<rGbCtD	Compound - binds - Gene	CbG
CbG<rGbCtD	Gene > regulates > Gene	GrG
CbG<rGbCtD	Compound - binds - Gene	CbG
CbG<rGbCtD	Compound - treats - Disease	CtD
CbG<rGcGaD	Compound - binds - Gene	CbG
CbG<rGcGaD	Gene > regulates > Gene	GrG
CbG<rGcGaD	Gene - covaries - Gene	GcG
CbG<rGcGaD	Disease - associates - Gene	DaG
CbG<rGcGdD	Compound - binds - Gene	CbG
CbG<rGcGdD	Gene > regulates > Gene	GrG
CbG<rGcGdD	Gene - covaries - Gene	GcG
CbG<rGcGdD	Disease - downregulates - Gene	DdG
CbG<rGcGuD	Compound - binds - Gene	CbG
CbG<rGcGuD	Gene > regulates > Gene	GrG
CbG<rGcGuD	Gene - covaries - Gene	GcG
CbG<rGcGuD	Disease - upregulates - Gene	DuG
CbG<rGdAlD	Compound - binds - Gene	CbG
CbG<rGdAlD	Gene > regulates > Gene	GrG
CbG<rGdAlD	Anatomy - downregulates - Gene	AdG
CbG<rGdAlD	Disease - localizes - Anatomy	DlA
CbG<rGdCpD	Compound - binds - Gene	CbG
CbG<rGdCpD	Gene > regulates > Gene	GrG
CbG<rGdCpD	Compound - downregulates - Gene	CdG
CbG<rGdCpD	Compound - palliates - Disease	CpD
CbG<rGdCtD	Compound - binds - Gene	CbG
CbG<rGdCtD	Gene > regulates > Gene	GrG
CbG<rGdCtD	Compound - downregulates - Gene	CdG
CbG<rGdCtD	Compound - treats - Disease	CtD
CbG<rGdDrD	Compound - binds - Gene	CbG
CbG<rGdDrD	Gene > regulates > Gene	GrG
CbG<rGdDrD	Disease - downregulates - Gene	DdG
CbG<rGdDrD	Disease - resembles - Disease	DrD
CbG<rGeAlD	Compound - binds - Gene	CbG
CbG<rGeAlD	Gene > regulates > Gene	GrG
CbG<rGeAlD	Anatomy - expresses - Gene	AeG
CbG<rGeAlD	Disease - localizes - Anatomy	DlA
CbG<rGiGaD	Compound - binds - Gene	CbG
CbG<rGiGaD	Gene > regulates > Gene	GrG
CbG<rGiGaD	Gene - interacts - Gene	GiG
CbG<rGiGaD	Disease - associates - Gene	DaG
CbG<rGiGdD	Compound - binds - Gene	CbG
CbG<rGiGdD	Gene > regulates > Gene	GrG
CbG<rGiGdD	Gene - interacts - Gene	GiG
CbG<rGiGdD	Disease - downregulates - Gene	DdG
CbG<rGiGuD	Compound - binds - Gene	CbG
CbG<rGiGuD	Gene > regulates > Gene	GrG
CbG<rGiGuD	Gene - interacts - Gene	GiG
CbG<rGiGuD	Disease - upregulates - Gene	DuG
CbG<rGr>GaD	Compound - binds - Gene	CbG
CbG<rGr>GaD	Gene > regulates > Gene	GrG
CbG<rGr>GaD	Gene > regulates > Gene	GrG
CbG<rGr>GaD	Disease - associates - Gene	DaG
CbG<rGr>GdD	Compound - binds - Gene	CbG
CbG<rGr>GdD	Gene > regulates > Gene	GrG
CbG<rGr>GdD	Gene > regulates > Gene	GrG
CbG<rGr>GdD	Disease - downregulates - Gene	DdG
CbG<rGr>GuD	Compound - binds - Gene	CbG
CbG<rGr>GuD	Gene > regulates > Gene	GrG
CbG<rGr>GuD	Gene > regulates > Gene	GrG
CbG<rGr>GuD	Disease - upregulates - Gene	DuG
CbG<rGuAlD	Compound - binds - Gene	CbG
CbG<rGuAlD	Gene > regulates > Gene	GrG
CbG<rGuAlD	Anatomy - upregulates - Gene	AuG
CbG<rGuAlD	Disease - localizes - Anatomy	DlA
CbG<rGuCpD	Compound - binds - Gene	CbG
CbG<rGuCpD	Gene > regulates > Gene	GrG
CbG<rGuCpD	Compound - upregulates - Gene	CuG
CbG<rGuCpD	Compound - palliates - Disease	CpD
CbG<rGuCtD	Compound - binds - Gene	CbG
CbG<rGuCtD	Gene > regulates > Gene	GrG
CbG<rGuCtD	Compound - upregulates - Gene	CuG
CbG<rGuCtD	Compound - treats - Disease	CtD
CbG<rGuDrD	Compound - binds - Gene	CbG
CbG<rGuDrD	Gene > regulates > Gene	GrG
CbG<rGuDrD	Disease - upregulates - Gene	DuG
CbG<rGuDrD	Disease - resembles - Disease	DrD
CbGaDaGaD	Compound - binds - Gene	CbG
CbGaDaGaD	Disease - associates - Gene	DaG
CbGaDaGaD	Disease - associates - Gene	DaG
CbGaDaGaD	Disease - associates - Gene	DaG
CbGaDaGdD	Compound - binds - Gene	CbG
CbGaDaGdD	Disease - associates - Gene	DaG
CbGaDaGdD	Disease - associates - Gene	DaG
CbGaDaGdD	Disease - downregulates - Gene	DdG
CbGaDaGuD	Compound - binds - Gene	CbG
CbGaDaGuD	Disease - associates - Gene	DaG
CbGaDaGuD	Disease - associates - Gene	DaG
CbGaDaGuD	Disease - upregulates - Gene	DuG
CbGaDdGaD	Compound - binds - Gene	CbG
CbGaDdGaD	Disease - associates - Gene	DaG
CbGaDdGaD	Disease - downregulates - Gene	DdG
CbGaDdGaD	Disease - associates - Gene	DaG
CbGaDdGdD	Compound - binds - Gene	CbG
CbGaDdGdD	Disease - associates - Gene	DaG
CbGaDdGdD	Disease - downregulates - Gene	DdG
CbGaDdGdD	Disease - downregulates - Gene	DdG
CbGaDdGuD	Compound - binds - Gene	CbG
CbGaDdGuD	Disease - associates - Gene	DaG
CbGaDdGuD	Disease - downregulates - Gene	DdG
CbGaDdGuD	Disease - upregulates - Gene	DuG
CbGaDlAlD	Compound - binds - Gene	CbG
CbGaDlAlD	Disease - associates - Gene	DaG
CbGaDlAlD	Disease - localizes - Anatomy	DlA
CbGaDlAlD	Disease - localizes - Anatomy	DlA
CbGaDpCpD	Compound - binds - Gene	CbG
CbGaDpCpD	Disease - associates - Gene	DaG
CbGaDpCpD	Compound - palliates - Disease	CpD
CbGaDpCpD	Compound - palliates - Disease	CpD
CbGaDpCtD	Compound - binds - Gene	CbG
CbGaDpCtD	Disease - associates - Gene	DaG
CbGaDpCtD	Compound - palliates - Disease	CpD
CbGaDpCtD	Compound - treats - Disease	CtD
CbGaDpSpD	Compound - binds - Gene	CbG
CbGaDpSpD	Disease - associates - Gene	DaG
CbGaDpSpD	Disease - presents - Symptom	DpS
CbGaDpSpD	Disease - presents - Symptom	DpS
CbGaDrDrD	Compound - binds - Gene	CbG
CbGaDrDrD	Disease - associates - Gene	DaG
CbGaDrDrD	Disease - resembles - Disease	DrD
CbGaDrDrD	Disease - resembles - Disease	DrD
CbGaDtCpD	Compound - binds - Gene	CbG
CbGaDtCpD	Disease - associates - Gene	DaG
CbGaDtCpD	Compound - treats - Disease	CtD
CbGaDtCpD	Compound - palliates - Disease	CpD
CbGaDtCtD	Compound - binds - Gene	CbG
CbGaDtCtD	Disease - associates - Gene	DaG
CbGaDtCtD	Compound - treats - Disease	CtD
CbGaDtCtD	Compound - treats - Disease	CtD
CbGaDuGaD	Compound - binds - Gene	CbG
CbGaDuGaD	Disease - associates - Gene	DaG
CbGaDuGaD	Disease - upregulates - Gene	DuG
CbGaDuGaD	Disease - associates - Gene	DaG
CbGaDuGdD	Compound - binds - Gene	CbG
CbGaDuGdD	Disease - associates - Gene	DaG
CbGaDuGdD	Disease - upregulates - Gene	DuG
CbGaDuGdD	Disease - downregulates - Gene	DdG
CbGaDuGuD	Compound - binds - Gene	CbG
CbGaDuGuD	Disease - associates - Gene	DaG
CbGaDuGuD	Disease - upregulates - Gene	DuG
CbGaDuGuD	Disease - upregulates - Gene	DuG
CbGbCbGaD	Compound - binds - Gene	CbG
CbGbCbGaD	Compound - binds - Gene	CbG
CbGbCbGaD	Compound - binds - Gene	CbG
CbGbCbGaD	Disease - associates - Gene	DaG
CbGbCbGdD	Compound - binds - Gene	CbG
CbGbCbGdD	Compound - binds - Gene	CbG
CbGbCbGdD	Compound - binds - Gene	CbG
CbGbCbGdD	Disease - downregulates - Gene	DdG
CbGbCbGuD	Compound - binds - Gene	CbG
CbGbCbGuD	Compound - binds - Gene	CbG
